media,area_of_influence,ojd,url,CCAA,PROV,AREA,platform,PGD,distribution,Origin,active_iber,address_iber,zipcode_iber,lat_iber,lng_iber,platform_iber,province_iber,CCAA_iber,type_media_cac,address_cac,lat_cac,lng_cac,zipcode_cac,classification_ojd,sub_classification_ojd,unique_visitors_ojd
el 9 nou,,,el9nou.cat,,,,,,,"Iberfier, CAC, OJD",True,"Plaça de la Catedral, 2. Vic",8500,41.9280192,2.2546755,"print, radio, tv, web, app",Barcelona,CAT,Emissora de ràdio,"Plaça de la Catedral, 2 ,  08500, Vic",41.928026,2.254678,08500,Notícies i Informació,Notícies globals i actualitat,8693.0
el 9 nou,,,el9nou.cat,,,,,,,"Iberfier, CAC, OJD",True,"Plaça de la Catedral, 2. Vic",8500,41.9280192,2.2546755,"print, radio, tv, web, app",Barcelona,CAT,Canal de televisió,"Carrer Santa Maria, 4 ,  08500, Vic",41.927802,2.254682,08500,Notícies i Informació,Notícies globals i actualitat,8693.0
betevé,,,beteve.cat,,,,,,,"Iberfier, CAC, OJD",True,"Plaça Tísner, 1, 08018 Barcelona",8018,41.4005519,2.1935639,"app, web, tv",Barcelona,CAT,Canal de televisió,"Plaça Tísner, 1 ,  08099, Barcelona",41.400574,2.193725,08099,Entreteniment,Broadcast,59925.0
pirineus tv,,,pirineustv.cat,,,,,,,"Iberfier, CAC, OJD",True,"Avenida Pau Claris, 8 entresòl. 25700 La Seu d’Urgell",25700,42.3574965,1.4595834,web,Lleida,CAT,Canal de televisió,"Avinguda Pau Claris, 8 ,  25700, La Seu d'Urgell",42.358465,1.459471,25700,Notícies i Informació,Notícies globals i actualitat,226.0
ràdio sabadell,,,radiosabadell.fm,,,,,,,"Iberfier, CAC, OJD",True,"del Doctor Puig 18, Sabadell",8202,41.5490799,2.1093,"radio, web, app",Barcelona,CAT,Emissora de ràdio,"Carrer Dr. Puig, 18,  ,  08202, Sabadell",41.549914,2.109091,08202,Entreteniment,Broadcast,3216.0
adolescents,Catalunya,OJD,adolescents.cat,CAT,CAT,,digital,,,"AMIC, Iberfier, OJD",True,"De la Llotja 9, Vic 08500 (Barcelona)",8500,41.925725,2.2465017,web,Barcelona,CAT,,,,,,Notícies i Informació,Notícies d'interès especial,2546.0
adolescents,Catalunya,no OJD,adolescents.cat,CAT,CAT,,digital,,,"AMIC, Iberfier, OJD",True,"De la Llotja 9, Vic 08500 (Barcelona)",8500,41.925725,2.2465017,web,Barcelona,CAT,,,,,,Notícies i Informació,Notícies d'interès especial,2546.0
laopiniondetorrent,"Torrent, València",,laopiniondetorrent.es,PV,PV,V,digital,,,"AMIC, Iberfier, OJD",True,"Gómez Ferrer, 34 - 46900 Torrent (València)",46900,39.4387405,-0.4639613,"web, print",Valencia/València,PV,,,,,,Noticias e Información,Noticias globales y actualidad,188.0
fosbury,Catalunya,OJD,fosbury.cat,CAT,CAT,,digital,,,"AMIC, Iberfier, OJD",True,"Riera del Pare Fita, 70, 08350 Arenys de Mar, Barcelona",8350,41.5841844,2.5475178,"web, print",Barcelona,CAT,,,,,,Entreteniment,Esports,46.0
comunicacio21,Catalunya,OJD,comunicacio21.cat,CAT,CAT,,digital,,,"AMIC, Iberfier, OJD",True,"Mallorca, 354 entlo. 1ª -Barcelona - 08013",8013,41.4006124,2.1717279,"app, print, web",Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,505.0
comunicacio21,Catalunya,OJD,comunicacio21.cat,CAT,CAT,,digital,,,"AMIC, Iberfier, OJD",False,Mallorca Num.354 P.en Pta.1  08013  - Barcelona,8013,41.4031163,2.181871,web,Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,505.0
comunicacio21,Catalunya,OJD,comunicacio21.cat,CAT,CAT,,digital,,,"AMIC, Iberfier, OJD",False,Mallorca Num.354 P.en Pta.1  08013  - Barcelona,8013,41.297445,2.0832941,web,Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,505.0
comunicacio21,Catalunya,OJD,comunicacio21.cat,CAT,CAT,,digital,,,"AMIC, Iberfier, OJD",False,Mallorca Num.354 P.en Pta.1  08013  - Barcelona,8013,41.5434323,2.1031696,web,Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,505.0
surtdecasa,Catalunya ,OJD,surtdecasa.cat,CAT,CAT,varisIP,digital,,,"AMIC, Iberfier, OJD",False,l’Avenida Port de Caro 19 de Roquetes,43520,40.8189803,0.5063658,web,Tarragona,CAT,,,,,,Notícies i Informació,Notícies d'interès especial,5714.0
festadirecte,Catalunya,OJD,festadirecte.cat,CAT,CAT,,digital,,,"AMIC, Iberfier, OJD",True,"carrer Caballero, 65 08014 Barcelona",8014,41.3832889,2.136604,web,ES Unknown,,,,,,,Notícies i Informació,Notícies d'interès especial,8.0
jornal,Catalunya,OJD,jornal.cat,CAT,CAT,,digital,,,"AMIC, Iberfier, OJD",True,"C/ Lluís Companys, 26 – 08401 Granollers (Barcelona)",8401,41.5992989,2.2821323,web,Barcelona,CAT,,,,,,Notícies i Informació,Notícies d'interès especial,173.0
diarieducacio,Catalunya,OJD,diarieducacio.cat,CAT,CAT,,digital,,,"AMIC, Iberfier, OJD",True,"Bailén 5, 08010. 08010, Barcelona.",8010,41.3914436,2.1774214,web,Barcelona,CAT,,,,,,Notícies i Informació,Notícies d'interès especial,1015.0
gastronomicament,Mallorca,,gastronomicament.cat,IB,IB,ma,digital,,,"AMIC, Iberfier, OJD",True,"Marian Aguiló 11 3A, 07005 Palma de Mallorca, Espanya",7005,39.5769055,2.661576,web,Illes Balears,IB,,,,,,Noticias e Información,Noticias de interés especial,146.0
diaridelmaestrat,València,,diaridelmaestrat.com,PV,PV,cast,digital,,,"AMIC, Iberfier, OJD",True,"San Francisco, 125, 12500 Vinaròs (Castellón)",12500,40.467346,0.4704783,web,Castellón/Castelló,PV,,,,,,Noticias e Información,Noticias globales y actualidad,5851.0
eltemps,Pais Valencià,,eltemps.cat,PV,PV,,digital,,,"AMIC, Iberfier, OJD",True,"Octubre Centre de Cultura Contemporània  de Sant Ferran, 12 - 46001 - València ",46001,39.4729986,-0.3770216,"print, web",Valencia/València,PV,,,,,,Noticias e Información,Noticias globales y actualidad,1568.0
eltemps,Pais Valencià,,eltemps.cat,PV,PV,,digital,,,"AMIC, Iberfier, OJD",True,"Octubre Centre de Cultura Contemporània  de Sant Ferran, 12 - 46001 - València ",46001,39.4729986,-0.3770216,"print, web",Valencia/València,PV,,,,,,Notícies i Informació,Notícies globals i actualitat,1568.0
meseconomia,Catalunya,OJD,meseconomia.cat,CAT,CAT,,digital,,,"AMIC, Iberfier, OJD",True,"Caballero, 65 - Barcelona 08014",8014,41.3832889,2.136604,web,Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,14.0
elcritic,Països catalans,OJD,elcritic.cat,CAT,CAT,,digital,,,"AMIC, Iberfier, OJD",True,"Casp, 43 de Barcelona, 08010",8010,41.3920594,2.1739426,"print, web",Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,1984.0
