ID,Origin,media,url,zipcode_iber,zipcode_cac
0,"Iberfier, CAC, OJD",el 9 nou,el9nou.cat,8500.0,8500.0
2,"Iberfier, CAC, OJD",betevé,beteve.cat,8018.0,8099.0
3,"Iberfier, CAC, OJD",pirineus tv,pirineustv.cat,25700.0,25700.0
4,"Iberfier, CAC, OJD",ràdio sabadell,radiosabadell.fm,8202.0,8202.0
5,"AMIC, Iberfier, OJD",adolescents,adolescents.cat,8500.0,
7,"AMIC, Iberfier, OJD",laopiniondetorrent,laopiniondetorrent.es,46900.0,
8,"AMIC, Iberfier, OJD",fosbury,fosbury.cat,8350.0,
9,"AMIC, Iberfier, OJD",comunicacio21,comunicacio21.cat,8013.0,
13,"AMIC, Iberfier, OJD",surtdecasa,surtdecasa.cat,43520.0,
14,"AMIC, Iberfier, OJD",festadirecte,festadirecte.cat,8014.0,
15,"AMIC, Iberfier, OJD",jornal,jornal.cat,8401.0,
16,"AMIC, Iberfier, OJD",diarieducacio,diarieducacio.cat,8010.0,
17,"AMIC, Iberfier, OJD",gastronomicament,gastronomicament.cat,7005.0,
18,"AMIC, Iberfier, OJD",diaridelmaestrat,diaridelmaestrat.com,12500.0,
19,"AMIC, Iberfier, OJD",eltemps,eltemps.cat,46001.0,
21,"AMIC, Iberfier, OJD",meseconomia,meseconomia.cat,8014.0,
22,"AMIC, Iberfier, OJD",elcritic,elcritic.cat,8010.0,
23,"AMIC, Iberfier, OJD",elmon,elmon.cat,8007.0,
25,"AMIC, Iberfier, OJD",elmon,elmon.cat,8221.0,
26,"AMIC, Iberfier, OJD",elmon,elmon.cat,8172.0,
28,"AMIC, Iberfier, OJD",anoiadiari,anoiadiari.cat,8700.0,
29,"AMIC, Iberfier, OJD",aquibergueda,aquibergueda.cat,8600.0,
30,"AMIC, Iberfier, OJD",balaguer,balaguer.tv,25600.0,
31,"AMIC, Iberfier, OJD",comarquesdeponent,comarquesdeponent.com,25300.0,
32,"AMIC, Iberfier, OJD",comarquesnord,comarquesnord.cat,12300.0,
34,"AMIC, Iberfier, OJD",diaridegirona,diaridegirona.cat,17002.0,
35,"AMIC, Iberfier, OJD",diaridesabadell,diaridesabadell.com,8201.0,
36,"AMIC, Iberfier, OJD",ebredigital,ebredigital.cat,43003.0,
37,"AMIC, Iberfier, OJD",eixdiari,eixdiari.cat,8800.0,
38,"AMIC, Iberfier, OJD",elcargol,elcargol.com,8720.0,
39,"AMIC, Iberfier, OJD",elcugatenc,elcugatenc.cat,8173.0,
40,"AMIC, Iberfier, OJD",expresdesantandreu,expresdesantandreu.cat,8030.0,
41,"AMIC, Iberfier, OJD",infoanoia,infoanoia.cat,8788.0,
42,"AMIC, Iberfier, OJD",infocamp,infocamp.cat,43001.0,
43,"AMIC, Iberfier, OJD",labustia,labustia.cat,8760.0,
44,"AMIC, Iberfier, OJD",laguiadereus,laguiadereus.com,43206.0,
45,"AMIC, Iberfier, OJD",lamanyana,lamanyana.cat,25191.0,
46,"AMIC, Iberfier, OJD",lapremsadelbaix,lapremsadelbaix.es,8950.0,
47,"AMIC, Iberfier, OJD",marfanta,marfanta.com,43500.0,
48,"AMIC, Iberfier, OJD",mesebre,mesebre.cat,43500.0,
49,"AMIC, Iberfier, OJD",mesosona,mesosona.cat,8500.0,
50,"AMIC, Iberfier, OJD",mollerussa,mollerussa.tv,25230.0,
51,"AMIC, Iberfier, OJD",noticiestgn,noticiestgn.cat,43003.0,
52,"AMIC, Iberfier, OJD",onabages,onabages.cat,8650.0,
53,"AMIC, Iberfier, OJD",onabages,onabages.cat,,
54,"AMIC, Iberfier, OJD",reusdigital,reusdigital.cat,43201.0,
55,"AMIC, Iberfier, OJD",revistacambrils,revistacambrils.cat,43850.0,
56,"AMIC, Iberfier, OJD",somlallagosta,somlallagosta.cat,8100.0,
57,"AMIC, Iberfier, OJD",somlesfranqueses,somlesfranqueses.cat,8100.0,
58,"AMIC, Iberfier, OJD",sommartorelles,sommartorelles.cat,8100.0,
59,"AMIC, Iberfier, OJD",somparets,somparets.cat,8100.0,
60,"AMIC, Iberfier, OJD",somsantfost,somsantfost.cat,8100.0,
61,"AMIC, Iberfier, OJD",tarragonadigital,tarragonadigital.com,43201.0,
62,"AMIC, Iberfier, OJD",tarrega,tarrega.tv,25300.0,
63,"AMIC, Iberfier, OJD",totsantcugat,totsantcugat.cat,8172.0,
64,"AMIC, Iberfier, OJD",veuanoia,veuanoia.cat,8700.0,
66,"AMIC, Iberfier, OJD",radiocapital,radiocapital.cat,17200.0,
67,"AMIC, Iberfier, OJD",lamira,lamira.cat,8010.0,
68,"AMIC, Iberfier, OJD",enderrock,enderrock.cat,8021.0,
70,"AMIC, Iberfier, OJD",socpetit,socpetit.cat,43712.0,
71,"AMIC, Iberfier, OJD",diaritreball,diaritreball.cat,8029.0,
72,"AMIC, Iberfier, OJD",diaritreball,diaritreball.cat,8023.0,
73,"AMIC, Iberfier, OJD",timeout,timeout.cat,8003.0,
74,"AMIC, Iberfier, OJD",diarisanitat,diarisanitat.cat,8010.0,
75,"AMIC, Iberfier, OJD",racocatala,racocatala.cat,8010.0,
76,"AMIC, Iberfier, OJD",panxing,panxing.net,8339.0,
77,"AMIC, Iberfier, OJD",loclar,loclar.es,46870.0,
78,"AMIC, Iberfier, OJD",dbalears,dbalears.cat,7001.0,
82,"AMIC, Iberfier, OJD",noudiari,noudiari.es,7800.0,
83,"AMIC, Iberfier, OJD",saveu,saveu.cat,7100.0,
85,"AMIC, Iberfier, OJD",aramultimedia,aramultimedia.com,3801.0,
86,"AMIC, Iberfier, OJD",castelloextra,castelloextra.com,46017.0,
87,"AMIC, Iberfier, OJD",valenciaextra,valenciaextra.com,46017.0,
88,"AMIC, OJD",fibwidiario,fibwidiario.com,,
89,"AMIC, OJD",laconca51,laconca51.cat,,
90,"AMIC, OJD",festacatalunya,festacatalunya.cat,,
91,"AMIC, OJD",apuntmenorca,apuntmenorca.com,,
92,"AMIC, OJD",tornaveu,tornaveu.cat,,
93,"AMIC, OJD",exterior,exterior.cat,,
94,"AMIC, OJD",cultura21,cultura21.cat,,
95,"AMIC, OJD",elmoncasteller,elmoncasteller.cat,,
96,"AMIC, OJD",escaparatedigital,escaparatedigital.com,,
97,"AMIC, OJD",indicadordeeconomia,indicadordeeconomia.com,,
98,"AMIC, OJD",lesvegueries,lesvegueries.cat,,
99,"AMIC, OJD",cronica,cronica.es,,
100,"AMIC, OJD",bellaterradiari,bellaterradiari.cat,,
101,"AMIC, OJD",canal21ebre,canal21ebre.com,,
102,"AMIC, OJD",diarideterrassa,diarideterrassa.com,,
103,"AMIC, OJD",lafurapenedes,lafurapenedes.cat,,
104,"AMIC, OJD",molletama,molletama.cat,,
105,"AMIC, OJD",monterrassa,monterrassa.cat,,
107,"AMIC, OJD",pallarsdigital,pallarsdigital.cat,,
108,"AMIC, OJD",tdbactualitat,tdbactualitat.cat,,
109,"AMIC, OJD",totcerdanyola,totcerdanyola.cat,,
110,"AMIC, OJD",totrubi,totrubi.cat,,
111,"AMIC, OJD",laveudelsllibres,laveudelsllibres.cat,,
113,"AMIC, OJD",7diesactualitat,7diesactualitat.com,,
114,"AMIC, OJD",monplaneta,monplaneta.cat,,
115,"AMIC, OJD",viasona,viasona.cat,,
116,"AMIC, OJD",uepmallorca,uepmallorca.app,,
118,"AMIC, OJD",lasbandasdemusica,lasbandasdemusica.com,,
119,"AMIC, OJD",elmondelatele,elmondelatele.cat,,
120,"AMIC, OJD",periodicontinyent,periodicontinyent.com,,
121,"AMIC, OJD",castello24,castello24.com,,
122,"AMIC, OJD",foravila,foravila.net,,
123,"AMIC, OJD",balearsvadevi,balearsvadevi.cat,,
125,"AMIC, OJD",digitalmanacor,digitalmanacor.com,,
126,"AMIC, OJD",eliris,eliris.cat,,
127,"AMIC, OJD",mallorcadiario,mallorcadiario.com,,
128,"AMIC, OJD",menorcaaldia,menorcaaldia.com,,
129,"AMIC, OJD",menorca,menorca.info,,
130,"AMIC, OJD",palmesana,palmesana.com,,
131,"AMIC, OJD",revista07500,revista07500.com,,
132,"AMIC, OJD",ultimahora,ultimahora.es,,
133,"AMIC, OJD",firesifestes,firesifestes.es,,
134,"AMIC, OJD",alicantextra,alicantextra.com,,
135,"AMIC, OJD",castellonoticies,castellonoticies.com,,
137,"AMIC, OJD",revistapoble,revistapoble.net,,
138,"AMIC, OJD",revistasao,revistasao.cat,,
139,"AMIC, OJD",tvdigitalontinyent,tvdigitalontinyent.com,,
140,"AMIC, OJD",diariandorra,diariandorra.ad,,
141,"Iberfier, OJD",aldia.cat,aldia.cat,28046.0,
142,"Iberfier, OJD",alicante plaza,alicanteplaza.es,46002.0,
143,"Iberfier, OJD",betera.com,betera.com,46117.0,
144,"Iberfier, OJD",camp de túria,camp-de-turia.es,46190.0,
145,"Iberfier, OJD",castellón plaza,castellonplaza.com,46002.0,
146,"Iberfier, OJD",catalunya diari,catalunyadiari.com,43201.0,
147,"Iberfier, OJD",catorze,catorze.cat,8012.0,
148,"Iberfier, OJD",comarcal cv,comarcalcv.com,46020.0,
149,"Iberfier, OJD",cugat.cat,cugat.cat,8172.0,
150,"Iberfier, OJD",cuina,cuina.cat,8014.0,
151,"Iberfier, OJD",dénia.com,denia.com,3700.0,
152,"Iberfier, OJD",descobrir,descobrir.cat,17005.0,
153,"Iberfier, OJD",diari digital,diaridigital.es,46800.0,
154,"Iberfier, OJD",diario de alicante,diariodealicante.net,3002.0,
155,"Iberfier, OJD",directa,directa.cat,8014.0,
156,"Iberfier, OJD",el meridiano l'horta,elmeridiano.es,46023.0,
157,"Iberfier, OJD",elperiodic.com,elperiodic.com,35215.0,
158,"Iberfier, OJD",empordà info,emporda.info,17600.0,
159,"Iberfier, OJD",golsmedia,golsmedia.com,46001.0,
160,"Iberfier, OJD",infotúria,infoturia.com,46183.0,
161,"Iberfier, OJD",la república,larepublica.cat,8014.0,
162,"Iberfier, OJD",la veu de lliria,laveudelliria.com,46160.0,
163,"Iberfier, OJD",lleida diari,lleidadiari.cat,25001.0,
164,"Iberfier, OJD",manresa diari,manresadiari.cat,8240.0,
165,"Iberfier, OJD",noticias comunitat valenciana,noticiascv.com,,
166,"Iberfier, OJD",nova tàrrega,novatarrega.cat,25300.0,
167,"Iberfier, OJD",página 66,pagina66.com,3803.0,
168,"Iberfier, OJD",radio esport valencia,radioesport914.com,46035.0,
169,"Iberfier, OJD",rubí tv,rubitv.cat,8191.0,
170,"Iberfier, OJD",sapiens,sapiens.cat,8014.0,
171,"Iberfier, OJD",social,social.cat,8402.0,
172,"Iberfier, OJD",som granollers,somgranollers.cat,8100.0,
173,"Iberfier, OJD",som mollet,sommollet.cat,8100.0,
174,"Iberfier, OJD",som montmeló,sommontmelo.cat,8100.0,
175,"Iberfier, OJD",som montornès,sommontornes.cat,8100.0,
176,"Iberfier, OJD",som vallés,somvalles.cat,8100.0,
177,"Iberfier, OJD",territoris,territoris.cat,25230.0,
178,"Iberfier, OJD",tva,tv-a.es,3802.0,
179,"Iberfier, OJD",valència diari,valenciadiari.com,46007.0,
181,"Iberfier, OJD",valencia noticias,valencianoticias.com,46008.0,
182,"Iberfier, OJD",valencia plaza,valenciaplaza.com,46002.0,
183,"Iberfier, OJD",valors,valors.org,8301.0,
184,"Iberfier, OJD",viu molins de rei,viumolinsderei.com,8750.0,
185,"Iberfier, OJD",xtradio,xtradio.es,46800.0,
186,"AMIC, CAC, OJD",somgranollers,,,25140.0
187,"AMIC, CAC, OJD",somgranollers,,,43786.0
188,"AMIC, CAC, OJD",somgranollers,,,25250.0
189,"AMIC, CAC, OJD",somgranollers,,,17867.0
190,"AMIC, CAC, OJD",somgranollers,,,8261.0
191,"AMIC, CAC, OJD",somgranollers,,,8758.0
192,"AMIC, CAC, OJD",somgranollers,,,8950.0
193,"AMIC, CAC, OJD",somgranollers,,,17489.0
194,"AMIC, CAC, OJD",somgranollers,,,8589.0
195,"AMIC, CAC, OJD",somgranollers,,,25740.0
196,"AMIC, CAC, OJD",somgranollers,,,25670.0
197,"AMIC, CAC, OJD",somgranollers,,,25141.0
198,"AMIC, CAC, OJD",sommollet,,,25140.0
199,"AMIC, CAC, OJD",sommollet,,,43786.0
200,"AMIC, CAC, OJD",sommollet,,,25250.0
201,"AMIC, CAC, OJD",sommollet,,,17867.0
202,"AMIC, CAC, OJD",sommollet,,,8261.0
203,"AMIC, CAC, OJD",sommollet,,,8758.0
204,"AMIC, CAC, OJD",sommollet,,,8950.0
205,"AMIC, CAC, OJD",sommollet,,,17489.0
206,"AMIC, CAC, OJD",sommollet,,,8589.0
207,"AMIC, CAC, OJD",sommollet,,,25740.0
208,"AMIC, CAC, OJD",sommollet,,,25670.0
209,"AMIC, CAC, OJD",sommollet,,,25141.0
210,"AMIC, Iberfier, OJD",viaempresa,viaempresa.cat,8172.0,
211,"AMIC, Iberfier, OJD",ara,ara.cat,8015.0,
216,"AMIC, Iberfier, OJD",catalunyapress,catalunyapress.cat,8007.0,
217,"AMIC, Iberfier, OJD",capgros,capgros.com,8172.0,
218,"AMIC, Iberfier, OJD",diarimes,diarimes.com,43003.0,
219,"AMIC, Iberfier, OJD",laciutat,laciutat.cat,43004.0,
220,"AMIC, Iberfier, OJD",catalunyamagrada,catalunyamagrada.cat,8172.0,
221,"AMIC, Iberfier, OJD",segre,segre.com,25005.0,
223,"AMIC, Iberfier, OJD",aguaita,aguaita.cat ,8007.0,
224,"AMIC, OJD",elnostreciutat,elnostreciutat.com (elnostreperiodic.com),,
225,"AMIC, OJD",noticiasmarinaalta,noticiasmarinaalta.es ,,
226,"AMIC, OJD",espai,espai.media,,
227,"AMIC, OJD",el9nou,el9nou.cat ,,
229,"AMIC, OJD",lasrepublicas,lasrepublicas.com ,,
230,"AMIC, OJD",catalunyaplural,catalunyaplural.cat ,,
231,"AMIC, OJD",larepublica,larepublica.cat ,,
233,"AMIC, OJD",xcatalunya,xcatalunya.cat,,
234,"AMIC, OJD",lleidadiari,lleidadiari.cat ,,
235,"AMIC, OJD",manresadiari,manresadiari.cat ,,
236,"AMIC, OJD",rubitv,rubitv.cat (grup naciodigital),,
237,"AMIC, OJD",somvalles,somvalles.cat ,,
238,"AMIC, OJD",tarragona21,tarragona21.com ,,
239,"AMIC, OJD",territorirural,territorirural.cat (monrural.cat),,
240,"AMIC, OJD",audio,audio.cat    (tirabol),,
241,"AMIC, OJD",diariodemallorca,diariodemallorca.es (P.Iberica),,
242,"AMIC, OJD",tucomarca,tucomarca.com ,,
243,"AMIC, OJD",elsoller,elsoller.cat  ,,
245,"AMIC, OJD",diarilaveu,diarilaveu.cat (nosaltreslaveu.com),,
247,"AMIC, OJD",elperiodic,elperiodic.ad,,
248,"Iberfier, OJD",el punt avui,elpuntavui.cat,17005.0,
251,"AMIC, Iberfier, CAC",aquí berguedà,,8600.0,25140.0
252,"AMIC, Iberfier, CAC",aquí berguedà,,8600.0,43786.0
253,"AMIC, Iberfier, CAC",aquí berguedà,,8600.0,25250.0
254,"AMIC, Iberfier, CAC",aquí berguedà,,8600.0,17867.0
255,"AMIC, Iberfier, CAC",aquí berguedà,,8600.0,8261.0
256,"AMIC, Iberfier, CAC",aquí berguedà,,8600.0,8758.0
257,"AMIC, Iberfier, CAC",aquí berguedà,,8600.0,8950.0
258,"AMIC, Iberfier, CAC",aquí berguedà,,8600.0,17489.0
259,"AMIC, Iberfier, CAC",aquí berguedà,,8600.0,8589.0
260,"AMIC, Iberfier, CAC",aquí berguedà,,8600.0,25740.0
261,"AMIC, Iberfier, CAC",aquí berguedà,,8600.0,25670.0
262,"AMIC, Iberfier, CAC",aquí berguedà,,8600.0,25141.0
275,"AMIC, Iberfier, CAC",anoia diari,,8700.0,25140.0
276,"AMIC, Iberfier, CAC",anoia diari,,8700.0,43786.0
277,"AMIC, Iberfier, CAC",anoia diari,,8700.0,25250.0
278,"AMIC, Iberfier, CAC",anoia diari,,8700.0,17867.0
279,"AMIC, Iberfier, CAC",anoia diari,,8700.0,8261.0
280,"AMIC, Iberfier, CAC",anoia diari,,8700.0,8758.0
281,"AMIC, Iberfier, CAC",anoia diari,,8700.0,8950.0
282,"AMIC, Iberfier, CAC",anoia diari,,8700.0,17489.0
283,"AMIC, Iberfier, CAC",anoia diari,,8700.0,8589.0
284,"AMIC, Iberfier, CAC",anoia diari,,8700.0,25740.0
285,"AMIC, Iberfier, CAC",anoia diari,,8700.0,25670.0
286,"AMIC, Iberfier, CAC",anoia diari,,8700.0,25141.0
287,"AMIC, Iberfier, CAC",catalunya religió,,8025.0,25140.0
288,"AMIC, Iberfier, CAC",catalunya religió,,8025.0,43786.0
289,"AMIC, Iberfier, CAC",catalunya religió,,8025.0,25250.0
290,"AMIC, Iberfier, CAC",catalunya religió,,8025.0,17867.0
291,"AMIC, Iberfier, CAC",catalunya religió,,8025.0,8261.0
292,"AMIC, Iberfier, CAC",catalunya religió,,8025.0,8758.0
293,"AMIC, Iberfier, CAC",catalunya religió,,8025.0,8950.0
294,"AMIC, Iberfier, CAC",catalunya religió,,8025.0,17489.0
295,"AMIC, Iberfier, CAC",catalunya religió,,8025.0,8589.0
296,"AMIC, Iberfier, CAC",catalunya religió,,8025.0,25740.0
297,"AMIC, Iberfier, CAC",catalunya religió,,8025.0,25670.0
298,"AMIC, Iberfier, CAC",catalunya religió,,8025.0,25141.0
299,"AMIC, Iberfier, CAC",cerdanyola al dia,,8290.0,25140.0
300,"AMIC, Iberfier, CAC",cerdanyola al dia,,8290.0,43786.0
301,"AMIC, Iberfier, CAC",cerdanyola al dia,,8290.0,25250.0
302,"AMIC, Iberfier, CAC",cerdanyola al dia,,8290.0,17867.0
303,"AMIC, Iberfier, CAC",cerdanyola al dia,,8290.0,8261.0
