ID,Origin,media,url,zipcode_iber,zipcode_cac
0,"Iberfier, CAC, OJD",el 9 nou,el9nou.cat,08500,08500
2,"Iberfier, CAC, OJD",betevé,beteve.cat,08018,08099
3,"Iberfier, CAC, OJD",pirineus tv,pirineustv.cat,25700,25700
4,"Iberfier, CAC, OJD",ràdio sabadell,radiosabadell.fm,08202,08202
5,"AMIC, Iberfier, OJD",adolescents,adolescents.cat,08500,
7,"AMIC, Iberfier, OJD",laopiniondetorrent,laopiniondetorrent.es,46900,
8,"AMIC, Iberfier, OJD",fosbury,fosbury.cat,08350,
9,"AMIC, Iberfier, OJD",comunicacio21,comunicacio21.cat,08013,
13,"AMIC, Iberfier, OJD",surtdecasa,surtdecasa.cat,43520,
14,"AMIC, Iberfier, OJD",festadirecte,festadirecte.cat,08014,
15,"AMIC, Iberfier, OJD",jornal,jornal.cat,08401,
16,"AMIC, Iberfier, OJD",diarieducacio,diarieducacio.cat,08010,
17,"AMIC, Iberfier, OJD",gastronomicament,gastronomicament.cat,07005,
18,"AMIC, Iberfier, OJD",diaridelmaestrat,diaridelmaestrat.com,12500,
19,"AMIC, Iberfier, OJD",eltemps,eltemps.cat,46001,
21,"AMIC, Iberfier, OJD",meseconomia,meseconomia.cat,08014,
22,"AMIC, Iberfier, OJD",elcritic,elcritic.cat,08010,
23,"AMIC, Iberfier, OJD",elmon,elmon.cat,"08007, 08172, 08221",
28,"AMIC, Iberfier, OJD",anoiadiari,anoiadiari.cat,08700,
29,"AMIC, Iberfier, OJD",aquibergueda,aquibergueda.cat,08600,
30,"AMIC, Iberfier, OJD",balaguer,balaguer.tv,25600,
31,"AMIC, Iberfier, OJD",comarquesdeponent,comarquesdeponent.com,25300,
32,"AMIC, Iberfier, OJD",comarquesnord,comarquesnord.cat,12300,
34,"AMIC, Iberfier, OJD",diaridegirona,diaridegirona.cat,17002,
35,"AMIC, Iberfier, OJD",diaridesabadell,diaridesabadell.com,08201,
36,"AMIC, Iberfier, OJD",ebredigital,ebredigital.cat,43003,
37,"AMIC, Iberfier, OJD",eixdiari,eixdiari.cat,08800,
38,"AMIC, Iberfier, OJD",elcargol,elcargol.com,08720,
39,"AMIC, Iberfier, OJD",elcugatenc,elcugatenc.cat,08173,
40,"AMIC, Iberfier, OJD",expresdesantandreu,expresdesantandreu.cat,08030,
41,"AMIC, Iberfier, OJD",infoanoia,infoanoia.cat,08788,
42,"AMIC, Iberfier, OJD",infocamp,infocamp.cat,43001,
43,"AMIC, Iberfier, OJD",labustia,labustia.cat,08760,
44,"AMIC, Iberfier, OJD",laguiadereus,laguiadereus.com,43206,
45,"AMIC, Iberfier, OJD",lamanyana,lamanyana.cat,25191,
46,"AMIC, Iberfier, OJD",lapremsadelbaix,lapremsadelbaix.es,08950,
47,"AMIC, Iberfier, OJD",marfanta,marfanta.com,43500,
48,"AMIC, Iberfier, OJD",mesebre,mesebre.cat,43500,
49,"AMIC, Iberfier, OJD",mesosona,mesosona.cat,08500,
50,"AMIC, Iberfier, OJD",mollerussa,mollerussa.tv,25230,
51,"AMIC, Iberfier, OJD",noticiestgn,noticiestgn.cat,43003,
52,"AMIC, Iberfier, OJD",onabages,onabages.cat,08650,
54,"AMIC, Iberfier, OJD",reusdigital,reusdigital.cat,43201,
55,"AMIC, Iberfier, OJD",revistacambrils,revistacambrils.cat,43850,
56,"AMIC, Iberfier, OJD",somlallagosta,somlallagosta.cat,08100,
57,"AMIC, Iberfier, OJD",somlesfranqueses,somlesfranqueses.cat,08100,
58,"AMIC, Iberfier, OJD",sommartorelles,sommartorelles.cat,08100,
59,"AMIC, Iberfier, OJD",somparets,somparets.cat,08100,
60,"AMIC, Iberfier, OJD",somsantfost,somsantfost.cat,08100,
61,"AMIC, Iberfier, OJD",tarragonadigital,tarragonadigital.com,43201,
62,"AMIC, Iberfier, OJD",tarrega,tarrega.tv,25300,
63,"AMIC, Iberfier, OJD",totsantcugat,totsantcugat.cat,08172,
64,"AMIC, Iberfier, OJD",veuanoia,veuanoia.cat,08700,
66,"AMIC, Iberfier, OJD",radiocapital,radiocapital.cat,17200,
67,"AMIC, Iberfier, OJD",lamira,lamira.cat,08010,
68,"AMIC, Iberfier, OJD",enderrock,enderrock.cat,08021,
