ID,Origin,media,url,zipcode_iber,zipcode_cac,zipcode_ojd,zipcode_amic
0,"Iberfier, CAC, OJD",el 9 nou,el9nou.cat,08500,08500,8500.0,
2,"Iberfier, CAC, OJD",betevé,beteve.cat,08018,08099,8018.0,
3,"Iberfier, CAC, OJD",pirineus tv,pirineustv.cat,25700,25700,25700.0,
4,"Iberfier, CAC, OJD",ràdio sabadell,radiosabadell.fm,08202,08202,8202.0,
5,"AMIC, Iberfier, OJD",adolescents,adolescents.cat,08500,,8500.0,08500
7,"AMIC, Iberfier, OJD",laopiniondetorrent,laopiniondetorrent.es,46900,,46900.0,
8,"AMIC, Iberfier, OJD",fosbury,fosbury.cat,08350,,8750.0,
9,"AMIC, Iberfier, OJD",comunicacio21,comunicacio21.cat,08013,,8013.0,
13,"AMIC, Iberfier, OJD",surtdecasa,surtdecasa.cat,43520,,43520.0,43520
14,"AMIC, Iberfier, OJD",festadirecte,festadirecte.cat,08014,,8014.0,
15,"AMIC, Iberfier, OJD",jornal,jornal.cat,08401,,8176.0,08196
16,"AMIC, Iberfier, OJD",diarieducacio,diarieducacio.cat,08010,,8029.0,
17,"AMIC, Iberfier, OJD",gastronomicament,gastronomicament.cat,07005,,7005.0,
18,"AMIC, Iberfier, OJD",diaridelmaestrat,diaridelmaestrat.com,12500,,12500.0,12500
19,"AMIC, Iberfier, OJD",eltemps,eltemps.cat,46001,,46001.0,
21,"AMIC, Iberfier, OJD",meseconomia,meseconomia.cat,08014,,8014.0,
22,"AMIC, Iberfier, OJD",elcritic,elcritic.cat,08010,,8010.0,
23,"AMIC, Iberfier, OJD",elmon,elmon.cat,"08007,08221,08172",,8221.0,
28,"AMIC, Iberfier, OJD",anoiadiari,anoiadiari.cat,08700,,8700.0,
29,"AMIC, Iberfier, OJD",aquibergueda,aquibergueda.cat,08600,,8600.0,
30,"AMIC, Iberfier, OJD",balaguer,balaguer.tv,25600,,25600.0,25600
31,"AMIC, Iberfier, OJD",comarquesdeponent,comarquesdeponent.com,25300,,25300.0,
32,"AMIC, Iberfier, OJD",comarquesnord,comarquesnord.cat,12300,,44586.0,
34,"AMIC, Iberfier, OJD",diaridegirona,diaridegirona.cat,17002,,17002.0,17002
35,"AMIC, Iberfier, OJD",diaridesabadell,diaridesabadell.com,08201,,8201.0,
36,"AMIC, Iberfier, OJD",ebredigital,ebredigital.cat,43003,,43500.0,
37,"AMIC, Iberfier, OJD",eixdiari,eixdiari.cat,08800,,8800.0,08800
38,"AMIC, Iberfier, OJD",elcargol,elcargol.com,08720,,8720.0,
39,"AMIC, Iberfier, OJD",elcugatenc,elcugatenc.cat,08173,,8171.0,08172
40,"AMIC, Iberfier, OJD",expresdesantandreu,expresdesantandreu.cat,08030,,8389.0,08389
41,"AMIC, Iberfier, OJD",infoanoia,infoanoia.cat,08788,,8788.0,08788
42,"AMIC, Iberfier, OJD",infocamp,infocamp.cat,43001,,43001.0,
43,"AMIC, Iberfier, OJD",labustia,labustia.cat,08760,,8640.0,
44,"AMIC, Iberfier, OJD",laguiadereus,laguiadereus.com,43206,,43203.0,
45,"AMIC, Iberfier, OJD",lamanyana,lamanyana.cat,25191,,25004.0,
46,"AMIC, Iberfier, OJD",lapremsadelbaix,lapremsadelbaix.es,08950,,8940.0,
47,"AMIC, Iberfier, OJD",marfanta,marfanta.com,43500,,43500.0,
48,"AMIC, Iberfier, OJD",mesebre,mesebre.cat,43500,,43007.0,
49,"AMIC, Iberfier, OJD",mesosona,mesosona.cat,08500,,8500.0,
50,"AMIC, Iberfier, OJD",mollerussa,mollerussa.tv,25230,,25230.0,25230
51,"AMIC, Iberfier, OJD",noticiestgn,noticiestgn.cat,43003,,43003.0,
52,"AMIC, Iberfier, OJD",onabages,onabages.cat,08650,,8650.0,08650
54,"AMIC, Iberfier, OJD",reusdigital,reusdigital.cat,43201,,43201.0,43204
55,"AMIC, Iberfier, OJD",revistacambrils,revistacambrils.cat,43850,,43850.0,
56,"AMIC, Iberfier, OJD",somlallagosta,somlallagosta.cat,08100,,8020.0,
57,"AMIC, Iberfier, OJD",somlesfranqueses,somlesfranqueses.cat,08100,,8020.0,
58,"AMIC, Iberfier, OJD",sommartorelles,sommartorelles.cat,08100,,8020.0,
59,"AMIC, Iberfier, OJD",somparets,somparets.cat,08100,,8020.0,
60,"AMIC, Iberfier, OJD",somsantfost,somsantfost.cat,08100,,8020.0,
61,"AMIC, Iberfier, OJD",tarragonadigital,tarragonadigital.com,43201,,8202.0,
62,"AMIC, Iberfier, OJD",tarrega,tarrega.tv,25300,,25300.0,25300
63,"AMIC, Iberfier, OJD",totsantcugat,totsantcugat.cat,08172,,8172.0,
64,"AMIC, Iberfier, OJD",veuanoia,veuanoia.cat,08700,,8700.0,
66,"AMIC, Iberfier, OJD",radiocapital,radiocapital.cat,17200,,17256.0,
67,"AMIC, Iberfier, OJD",lamira,lamira.cat,08010,,8010.0,
68,"AMIC, Iberfier, OJD",enderrock,enderrock.cat,08021,,8008.0,
70,"AMIC, Iberfier, OJD",socpetit,socpetit.cat,43712,,8014.0,08770
71,"AMIC, Iberfier, OJD",diaritreball,diaritreball.cat,"08029,08023",,8029.0,
73,"AMIC, Iberfier, OJD",timeout,timeout.cat,08003,,8002.0,
74,"AMIC, Iberfier, OJD",diarisanitat,diarisanitat.cat,08010,,8029.0,
75,"AMIC, Iberfier, OJD",racocatala,racocatala.cat,08010,,8010.0,
76,"AMIC, Iberfier, OJD",panxing,panxing.net,08339,,8339.0,
77,"AMIC, Iberfier, OJD",loclar,loclar.es,46870,,46870.0,
78,"AMIC, Iberfier, OJD",dbalears,dbalears.cat,07001,,7001.0,07011
82,"AMIC, Iberfier, OJD",noudiari,noudiari.es,07800,,7800.0,07800
83,"AMIC, Iberfier, OJD",saveu,saveu.cat,07100,,7100.0,
85,"AMIC, Iberfier, OJD",aramultimedia,aramultimedia.com,03801,,3801.0,03801
86,"AMIC, Iberfier, OJD",castelloextra,castelloextra.com,46017,,46017.0,
87,"AMIC, Iberfier, OJD",valenciaextra,valenciaextra.com,46017,,46017.0,
88,"AMIC, OJD",fibwidiario,fibwidiario.com,,,7009.0,07121
89,"AMIC, OJD",laconca51,laconca51.cat,,,43400.0,43400
90,"AMIC, OJD",festacatalunya,festacatalunya.cat,,,8711.0,08711
91,"AMIC, OJD",apuntmenorca,apuntmenorca.com,,,7701.0,
92,"AMIC, OJD",tornaveu,tornaveu.cat,,,8221.0,
93,"AMIC, OJD",exterior,exterior.cat,,,8013.0,
94,"AMIC, OJD",cultura21,cultura21.cat,,,8013.0,
95,"AMIC, OJD",elmoncasteller,elmoncasteller.cat,,,8014.0,
96,"AMIC, OJD",escaparatedigital,escaparatedigital.com,,,3440.0,
97,"AMIC, OJD",indicadordeeconomia,indicadordeeconomia.com,,,43203.0,
98,"AMIC, OJD",lesvegueries,lesvegueries.cat,,,8720.0,
99,"AMIC, OJD",cronica,cronica.es,,,46900.0,
100,"AMIC, OJD",bellaterradiari,bellaterradiari.cat,,,8193.0,
101,"AMIC, OJD",canal21ebre,canal21ebre.com,,,3500.0,
102,"AMIC, OJD",diarideterrassa,diarideterrassa.com,,,8221.0,
103,"AMIC, OJD",lafurapenedes,lafurapenedes.cat,,,8720.0,
104,"AMIC, OJD",molletama,molletama.cat,,,8020.0,
105,"AMIC, OJD",monterrassa,monterrassa.cat,,,8221.0,
107,"AMIC, OJD",pallarsdigital,pallarsdigital.cat,,,25620.0,25620
108,"AMIC, OJD",tdbactualitat,tdbactualitat.cat,,,43830.0,
109,"AMIC, OJD",totcerdanyola,totcerdanyola.cat,,,8172.0,
110,"AMIC, OJD",totrubi,totrubi.cat,,,8172.0,
111,"AMIC, OJD",laveudelsllibres,laveudelsllibres.cat,,,8221.0,
113,"AMIC, OJD",7diesactualitat,7diesactualitat.com,,,12500.0,
114,"AMIC, OJD",monplaneta,monplaneta.cat,,,8221.0,
115,"AMIC, OJD",viasona,viasona.cat,,,8010.0,
116,"AMIC, OJD",uepmallorca,uepmallorca.app,,,7011.0,07600
118,"AMIC, OJD",lasbandasdemusica,lasbandasdemusica.com,,,46011.0,
119,"AMIC, OJD",elmondelatele,elmondelatele.cat,,,8202.0,
120,"AMIC, OJD",periodicontinyent,periodicontinyent.com,,,46870.0,
121,"AMIC, OJD",castello24,castello24.com,,,46005.0,46005
122,"AMIC, OJD",foravila,foravila.net,,,7100.0,07100
123,"AMIC, OJD",balearsvadevi,balearsvadevi.cat,,,8221.0,
125,"AMIC, OJD",digitalmanacor,digitalmanacor.com,,,7500.0,07500
126,"AMIC, OJD",eliris,eliris.cat,,,7760.0,
127,"AMIC, OJD",mallorcadiario,mallorcadiario.com,,,7141.0,07141
128,"AMIC, OJD",menorcaaldia,menorcaaldia.com,,,7702.0,07702
129,"AMIC, OJD",menorca,menorca.info,,,7714.0,
130,"AMIC, OJD",palmesana,palmesana.com,,,7005.0,07005
131,"AMIC, OJD",revista07500,revista07500.com,,,7500.0,07500
132,"AMIC, OJD",ultimahora,ultimahora.es,,,7011.0,
133,"AMIC, OJD",firesifestes,firesifestes.es,,,7350.0,07350
134,"AMIC, OJD",alicantextra,alicantextra.com,,,46017.0,
135,"AMIC, OJD",castellonoticies,castellonoticies.com,,,8221.0,
137,"AMIC, OJD",revistapoble,revistapoble.net,,,12540.0,
138,"AMIC, OJD",revistasao,revistasao.cat,,,46018.0,
139,"AMIC, OJD",tvdigitalontinyent,tvdigitalontinyent.com,,,46870.0,46870
140,"AMIC, OJD",diariandorra,diariandorra.ad,,,,
141,"Iberfier, OJD",aldia.cat,aldia.cat,28046,,8015.0,
142,"Iberfier, OJD",alicante plaza,alicanteplaza.es,46002,,,
143,"Iberfier, OJD",betera.com,betera.com,46117,,46190.0,
144,"Iberfier, OJD",camp de túria,camp-de-turia.es,46190,,46190.0,
145,"Iberfier, OJD",castellón plaza,castellonplaza.com,46002,,46002.0,
146,"Iberfier, OJD",catalunya diari,catalunyadiari.com,43201,,8006.0,
