ID,Origin,media,url,zipcode,lat,lon,poblacion,provincia,comunidad autonoma,comarca
0,"Iberfier, CAC, OJD",el 9 nou,el9nou.cat,08500,2255735690.0,41928383540.0,Vic,Barcelona,Cataluña,Osona
2,"Iberfier, CAC, OJD",betevé,beteve.cat,08099,,,,,,
3,"Iberfier, CAC, OJD",pirineus tv,pirineustv.cat,25700,1461979470.0,42357708850.0,La Seu d'Urgell,Lleida,Cataluña,Alt Urgell
4,"Iberfier, CAC, OJD",ràdio sabadell,radiosabadell.fm,08202,2107789940.0,41546958990.0,Sabadell,Barcelona,Cataluña,Vallès Occidental
5,"AMIC, Iberfier, OJD",adolescents,adolescents.cat,08500,2255735690.0,41928383540.0,Vic,Barcelona,Cataluña,Osona
7,"AMIC, Iberfier, OJD",laopiniondetorrent,laopiniondetorrent.es,46900,-0.46496185,39437084860.0,Torrent,Valencia/València,Comunidad Valenciana,L'Horta Sud
8,"AMIC, Iberfier, OJD",fosbury,fosbury.cat,08750,2017369080.0,41413211100.0,Molins de Rei,Barcelona,Cataluña,Baix Llobregat
9,"AMIC, Iberfier, OJD",comunicacio21,comunicacio21.cat,08013,2176349270.0,41384246640.0,Barcelona,Barcelona,Cataluña,Barcelonès
13,"AMIC, Iberfier, OJD",surtdecasa,surtdecasa.cat,43520,0.50335187,40820390610.0,Roquetes,Tarragona,Cataluña,Baix Ebre
14,"AMIC, Iberfier, OJD",festadirecte,festadirecte.cat,08014,2176349270.0,41384246640.0,Barcelona,Barcelona,Cataluña,Barcelonès
15,"AMIC, Iberfier, OJD",jornal,jornal.cat,08196,2085264720.0,41473454030.0,Sant Cugat del Vallès,Barcelona,Cataluña,Vallès Occidental
16,"AMIC, Iberfier, OJD",diarieducacio,diarieducacio.cat,08029,2176349270.0,41384246640.0,Barcelona,Barcelona,Cataluña,Barcelonès
17,"AMIC, Iberfier, OJD",gastronomicament,gastronomicament.cat,07005,2651816980.0,39571146990.0,Palma,Illes Balears,Illes Balears,
18,"AMIC, Iberfier, OJD",diaridelmaestrat,diaridelmaestrat.com,12500,0.47487433,40470925950.0,Vinaròs,Castellón/Castelló,Comunidad Valenciana,El Baix Maestrat
19,"AMIC, Iberfier, OJD",eltemps,eltemps.cat,46001,-0.37565717,39475344410.0,València,Valencia/València,Comunidad Valenciana,València
21,"AMIC, Iberfier, OJD",meseconomia,meseconomia.cat,08014,2176349270.0,41384246640.0,Barcelona,Barcelona,Cataluña,Barcelonès
22,"AMIC, Iberfier, OJD",elcritic,elcritic.cat,08010,2176349270.0,41384246640.0,Barcelona,Barcelona,Cataluña,Barcelonès
23,"AMIC, Iberfier, OJD",elmon,elmon.cat,08221,2012151410.0,41562363460.0,Terrassa,Barcelona,Cataluña,Vallès Occidental
28,"AMIC, Iberfier, OJD",anoiadiari,anoiadiari.cat,08700,1618295880.0,41578950960.0,Igualada,Barcelona,Cataluña,Anoia
29,"AMIC, Iberfier, OJD",aquibergueda,aquibergueda.cat,08600,1844024700.0,42103288740.0,Berga,Barcelona,Cataluña,Berguedà
30,"AMIC, Iberfier, OJD",balaguer,balaguer.tv,25600,0.80457795,41791522870.0,Balaguer,Lleida,Cataluña,Noguera
31,"AMIC, Iberfier, OJD",comarquesdeponent,comarquesdeponent.com,25300,1139354290.0,41646584520.0,Tàrrega,Lleida,Cataluña,Urgell
32,"AMIC, Iberfier, OJD",comarquesnord,comarquesnord.cat,44586,,,,,,
34,"AMIC, Iberfier, OJD",diaridegirona,diaridegirona.cat,17002,2824118990.0,41981860750.0,Girona,Girona,Cataluña,Gironès
35,"AMIC, Iberfier, OJD",diaridesabadell,diaridesabadell.com,08201,2107789940.0,41546958990.0,Sabadell,Barcelona,Cataluña,Vallès Occidental
36,"AMIC, Iberfier, OJD",ebredigital,ebredigital.cat,43500,0.52500631,40811021460.0,Tortosa,Tarragona,Cataluña,Baix Ebre
37,"AMIC, Iberfier, OJD",eixdiari,eixdiari.cat,08800,1723839900.0,41227219910.0,Vilanova i la Geltrú,Barcelona,Cataluña,Garraf
38,"AMIC, Iberfier, OJD",elcargol,elcargol.com,08720,1697746700.0,41347212100.0,Vilafranca del Penedès,Barcelona,Cataluña,Alt Penedès
39,"AMIC, Iberfier, OJD",elcugatenc,elcugatenc.cat,08172,2085264720.0,41473454030.0,Sant Cugat del Vallès,Barcelona,Cataluña,Vallès Occidental
40,"AMIC, Iberfier, OJD",expresdesantandreu,expresdesantandreu.cat,08389,2749183640.0,41667270490.0,Palafolls,Barcelona,Cataluña,Maresme
41,"AMIC, Iberfier, OJD",infoanoia,infoanoia.cat,08788,1639334120.0,41571618020.0,Vilanova del Camí,Barcelona,Cataluña,Anoia
42,"AMIC, Iberfier, OJD",infocamp,infocamp.cat,43001,1258421900.0,41119102870.0,Tarragona,Tarragona,Cataluña,Tarragonès
43,"AMIC, Iberfier, OJD",labustia,labustia.cat,08640,1893873090.0,41545840160.0,Olesa de Montserrat,Barcelona,Cataluña,Baix Llobregat
44,"AMIC, Iberfier, OJD",laguiadereus,laguiadereus.com,43203,1109861180.0,41154107250.0,Reus,Tarragona,Cataluña,Baix Camp
45,"AMIC, Iberfier, OJD",lamanyana,lamanyana.cat,25004,0.62061934,41615273550.0,Lleida,Lleida,Cataluña,Segrià
46,"AMIC, Iberfier, OJD",lapremsadelbaix,lapremsadelbaix.es,08940,2070132020.0,41355469340.0,Cornellà de Llobregat,Barcelona,Cataluña,Baix Llobregat
47,"AMIC, Iberfier, OJD",marfanta,marfanta.com,43500,0.52500631,40811021460.0,Tortosa,Tarragona,Cataluña,Baix Ebre
48,"AMIC, Iberfier, OJD",mesebre,mesebre.cat,43007,1258421900.0,41119102870.0,Tarragona,Tarragona,Cataluña,Tarragonès
49,"AMIC, Iberfier, OJD",mesosona,mesosona.cat,08500,2255735690.0,41928383540.0,Vic,Barcelona,Cataluña,Osona
50,"AMIC, Iberfier, OJD",mollerussa,mollerussa.tv,25230,0.89391515,41629676820.0,Mollerussa,Lleida,Cataluña,Pla d'Urgell
51,"AMIC, Iberfier, OJD",noticiestgn,noticiestgn.cat,43003,1258421900.0,41119102870.0,Tarragona,Tarragona,Cataluña,Tarragonès
52,"AMIC, Iberfier, OJD",onabages,onabages.cat,08650,1896570430.0,41823657700.0,Sallent,Barcelona,Cataluña,Bages
54,"AMIC, Iberfier, OJD",reusdigital,reusdigital.cat,43204,1109861180.0,41154107250.0,Reus,Tarragona,Cataluña,Baix Camp
55,"AMIC, Iberfier, OJD",revistacambrils,revistacambrils.cat,43850,1051797780.0,41074451700.0,Cambrils,Tarragona,Cataluña,Baix Camp
56,"AMIC, Iberfier, OJD",somlallagosta,somlallagosta.cat,08020,2176349270.0,41384246640.0,Barcelona,Barcelona,Cataluña,Barcelonès
57,"AMIC, Iberfier, OJD",somlesfranqueses,somlesfranqueses.cat,08020,2176349270.0,41384246640.0,Barcelona,Barcelona,Cataluña,Barcelonès
58,"AMIC, Iberfier, OJD",sommartorelles,sommartorelles.cat,08020,2176349270.0,41384246640.0,Barcelona,Barcelona,Cataluña,Barcelonès
59,"AMIC, Iberfier, OJD",somparets,somparets.cat,08020,2176349270.0,41384246640.0,Barcelona,Barcelona,Cataluña,Barcelonès
60,"AMIC, Iberfier, OJD",somsantfost,somsantfost.cat,08020,2176349270.0,41384246640.0,Barcelona,Barcelona,Cataluña,Barcelonès
61,"AMIC, Iberfier, OJD",tarragonadigital,tarragonadigital.com,08202,2107789940.0,41546958990.0,Sabadell,Barcelona,Cataluña,Vallès Occidental
62,"AMIC, Iberfier, OJD",tarrega,tarrega.tv,25300,1139354290.0,41646584520.0,Tàrrega,Lleida,Cataluña,Urgell
63,"AMIC, Iberfier, OJD",totsantcugat,totsantcugat.cat,08172,2085264720.0,41473454030.0,Sant Cugat del Vallès,Barcelona,Cataluña,Vallès Occidental
64,"AMIC, Iberfier, OJD",veuanoia,veuanoia.cat,08700,1618295880.0,41578950960.0,Igualada,Barcelona,Cataluña,Anoia
66,"AMIC, Iberfier, OJD",radiocapital,radiocapital.cat,17256,3110317150.0,41988743210.0,Palau-sator,Girona,Cataluña,Baix Empordà
67,"AMIC, Iberfier, OJD",lamira,lamira.cat,08010,2176349270.0,41384246640.0,Barcelona,Barcelona,Cataluña,Barcelonès
68,"AMIC, Iberfier, OJD",enderrock,enderrock.cat,08008,2176349270.0,41384246640.0,Barcelona,Barcelona,Cataluña,Barcelonès
70,"AMIC, Iberfier, OJD",socpetit,socpetit.cat,08770,2489840400.0,41689717400.0,Sant Celoni,Barcelona,Cataluña,Vallès Oriental
71,"AMIC, Iberfier, OJD",diaritreball,diaritreball.cat,08029,2176349270.0,41384246640.0,Barcelona,Barcelona,Cataluña,Barcelonès
73,"AMIC, Iberfier, OJD",timeout,timeout.cat,08002,2176349270.0,41384246640.0,Barcelona,Barcelona,Cataluña,Barcelonès
74,"AMIC, Iberfier, OJD",diarisanitat,diarisanitat.cat,08029,2176349270.0,41384246640.0,Barcelona,Barcelona,Cataluña,Barcelonès
75,"AMIC, Iberfier, OJD",racocatala,racocatala.cat,08010,2176349270.0,41384246640.0,Barcelona,Barcelona,Cataluña,Barcelonès
76,"AMIC, Iberfier, OJD",panxing,panxing.net,08339,2358334630.0,41517491900.0,Vilassar de Dalt,Barcelona,Cataluña,Maresme
77,"AMIC, Iberfier, OJD",loclar,loclar.es,46870,-0.60649062,38822881290.0,Ontinyent,Valencia/València,Comunidad Valenciana,La Vall d'Albaida
78,"AMIC, Iberfier, OJD",dbalears,dbalears.cat,07011,2651816980.0,39571146990.0,Palma,Illes Balears,Illes Balears,
82,"AMIC, Iberfier, OJD",noudiari,noudiari.es,07800,1436229030.0,38906669470.0,Eivissa,Illes Balears,Illes Balears,
83,"AMIC, Iberfier, OJD",saveu,saveu.cat,07100,2714137670.0,39764457300.0,Sóller,Illes Balears,Illes Balears,
