ID,Origin,media,url,zipcode,comarca,provincia,comunidad autonoma
0,"Iberfier, CAC, OJD",el 9 nou,el9nou.cat,08500,Osona,Barcelona,Cataluña
2,"Iberfier, CAC, OJD",betevé,beteve.cat,08099,,,
3,"Iberfier, CAC, OJD",pirineus tv,pirineustv.cat,25700,Alt Urgell,Lleida,Cataluña
4,"Iberfier, CAC, OJD",ràdio sabadell,radiosabadell.fm,08202,Vallès Occidental,Barcelona,Cataluña
5,"AMIC, Iberfier, OJD",adolescents,adolescents.cat,08500,Osona,Barcelona,Cataluña
7,"AMIC, Iberfier, OJD",laopiniondetorrent,laopiniondetorrent.es,46900,L'Horta Sud,Valencia/València,Comunidad Valenciana
8,"AMIC, Iberfier, OJD",fosbury,fosbury.cat,08350,"codigo postal
08350    Maresme
08350    Maresme
Name: comarca2, dtype: object","codigo postal
08350    Barcelona
08350    Barcelona
Name: provincia, dtype: object","codigo postal
08350    Cataluña
08350    Cataluña
Name: comunidad autonoma, dtype: object"
9,"AMIC, Iberfier, OJD",comunicacio21,comunicacio21.cat,08013,Barcelonès,Barcelona,Cataluña
13,"AMIC, Iberfier, OJD",surtdecasa,surtdecasa.cat,43520,Baix Ebre,Tarragona,Cataluña
14,"AMIC, Iberfier, OJD",festadirecte,festadirecte.cat,08014,Barcelonès,Barcelona,Cataluña
15,"AMIC, Iberfier, OJD",jornal,jornal.cat,08401,Vallès Oriental,Barcelona,Cataluña
16,"AMIC, Iberfier, OJD",diarieducacio,diarieducacio.cat,08010,Barcelonès,Barcelona,Cataluña
17,"AMIC, Iberfier, OJD",gastronomicament,gastronomicament.cat,07005,La Safor,Illes Balears,Illes Balears
18,"AMIC, Iberfier, OJD",diaridelmaestrat,diaridelmaestrat.com,12500,El Baix Maestrat,Castellón/Castelló,Comunidad Valenciana
19,"AMIC, Iberfier, OJD",eltemps,eltemps.cat,46001,València,Valencia/València,Comunidad Valenciana
21,"AMIC, Iberfier, OJD",meseconomia,meseconomia.cat,08014,Barcelonès,Barcelona,Cataluña
22,"AMIC, Iberfier, OJD",elcritic,elcritic.cat,08010,Barcelonès,Barcelona,Cataluña
23,"AMIC, Iberfier, OJD",elmon,elmon.cat,08007,Barcelonès,Barcelona,Cataluña
23,"AMIC, Iberfier, OJD",elmon,elmon.cat,08221,Vallès Occidental,Barcelona,Cataluña
23,"AMIC, Iberfier, OJD",elmon,elmon.cat,08172,Vallès Occidental,Barcelona,Cataluña
28,"AMIC, Iberfier, OJD",anoiadiari,anoiadiari.cat,08700,Anoia,Barcelona,Cataluña
29,"AMIC, Iberfier, OJD",aquibergueda,aquibergueda.cat,08600,Berguedà,Barcelona,Cataluña
30,"AMIC, Iberfier, OJD",balaguer,balaguer.tv,25600,Noguera,Lleida,Cataluña
31,"AMIC, Iberfier, OJD",comarquesdeponent,comarquesdeponent.com,25300,Urgell,Lleida,Cataluña
32,"AMIC, Iberfier, OJD",comarquesnord,comarquesnord.cat,12300,Els Ports,Castellón/Castelló,Comunidad Valenciana
34,"AMIC, Iberfier, OJD",diaridegirona,diaridegirona.cat,17002,Gironès,Girona,Cataluña
35,"AMIC, Iberfier, OJD",diaridesabadell,diaridesabadell.com,08201,Vallès Occidental,Barcelona,Cataluña
36,"AMIC, Iberfier, OJD",ebredigital,ebredigital.cat,43003,Tarragonès,Tarragona,Cataluña
37,"AMIC, Iberfier, OJD",eixdiari,eixdiari.cat,08800,Garraf,Barcelona,Cataluña
38,"AMIC, Iberfier, OJD",elcargol,elcargol.com,08720,Alt Penedès,Barcelona,Cataluña
39,"AMIC, Iberfier, OJD",elcugatenc,elcugatenc.cat,08173,Vallès Occidental,Barcelona,Cataluña
40,"AMIC, Iberfier, OJD",expresdesantandreu,expresdesantandreu.cat,08030,Barcelonès,Barcelona,Cataluña
41,"AMIC, Iberfier, OJD",infoanoia,infoanoia.cat,08788,Anoia,Barcelona,Cataluña
42,"AMIC, Iberfier, OJD",infocamp,infocamp.cat,43001,Tarragonès,Tarragona,Cataluña
43,"AMIC, Iberfier, OJD",labustia,labustia.cat,08760,Baix Llobregat,Barcelona,Cataluña
