media,area_of_influence,ojd,CCAA,PROV,AREA,platform,PGD,distribution,Origin,media_iber,active_iber,url_iber,address_iber,zipcode_iber,lat_iber,lng_iber,platform_iber,province_iber,CCAA_iber
adolescents.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC,adolescents.cat,True,adolescents.cat,"De la Llotja 9, Vic 08500 (Barcelona)",8500.0,41.925725,2.2465017,web,Barcelona,CAT
adolescents.cat,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC,adolescents.cat,True,adolescents.cat,"De la Llotja 9, Vic 08500 (Barcelona)",8500.0,41.925725,2.2465017,web,Barcelona,CAT
laopiniondetorrent.es,"Torrent, València",,PV,PV,V,digital,,,AMIC,l'opinió de torrent,True,laopiniondetorrent.es,"Gómez Ferrer, 34 - 46900 Torrent (València)",46900.0,39.4387405,-0.4639613,"web, print",Valencia/València,PV
fosbury.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC,fosbury,True,fosbury.cat,"Riera del Pare Fita, 70, 08350 Arenys de Mar, Barcelona",8350.0,41.5841844,2.5475178,"web, print",Barcelona,CAT
comunicacio21.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC,comunicació 21,True,comunicacio21.cat,"Mallorca, 354 entlo. 1ª -Barcelona - 08013",8013.0,41.4006124,2.1717279,"app, print, web",Barcelona,CAT
comunicacio21.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC,línia cornellà,False,comunicacio21.cat,Mallorca Num.354 P.en Pta.1  08013  - Barcelona,8013.0,41.4031163,2.181871,web,Barcelona,CAT
comunicacio21.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC,línia mar,False,comunicacio21.cat,Mallorca Num.354 P.en Pta.1  08013  - Barcelona,8013.0,41.297445,2.0832941,web,Barcelona,CAT
comunicacio21.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC,línia vallès sabadell,False,comunicacio21.cat,Mallorca Num.354 P.en Pta.1  08013  - Barcelona,8013.0,41.5434323,2.1031696,web,Barcelona,CAT
surtdecasa.cat,Catalunya ,OJD,CAT,CAT,varisIP,digital,,,AMIC,surt de casa,False,surtdecasa.cat,l’Avenida Port de Caro 19 de Roquetes,43520.0,40.8189803,0.5063658,web,Tarragona,CAT
sies.tv,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC,sies tv,True,sies.tv,"Plaza Josep Pla, 11, 4t 17001 de Girona (Catalunya)",17001.0,41.9829779,2.821548,web,Girona,CAT
festadirecte.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC,fésta,True,festadirecte.cat,"carrer Caballero, 65 08014 Barcelona",8014.0,41.3832889,2.136604,web,ES Unknown,
revistamirall.com,Catalunya,OJD,CAT,CAT,,digital,,,AMIC,revista mirall,True,revistamirall.com,"Carrer Caballero, 65. 08014 Barcelona",8014.0,41.3832889,2.136604,web,Illes Balears,IB
donesdigital.cat,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC,dones revista digital,True,donesdigital.cat,"Rambla Catalunya, 10, 08007 Barcelona",8007.0,41.3881611,2.1680116,web,Barcelona,CAT
jornal.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC,jornal.cat,True,jornal.cat,"C/ Lluís Companys, 26 – 08401 Granollers (Barcelona)",8401.0,41.5992989,2.2821323,web,Barcelona,CAT
diarieducacio.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC,el diari de l'educació,True,diarieducacio.cat,"Bailén 5, 08010. 08010, Barcelona.",8010.0,41.3914436,2.1774214,web,Barcelona,CAT
viaempresa.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC,via empresa,True,viaempresa.cat,"Sant Antoni, 42 08172 Sant Cugat del Vallès (Barcelona)",8172.0,41.4687335,2.0790992,web,Barcelona,CAT
gastronomicament.cat,Mallorca,,IB,IB,ma,digital,,,AMIC,gastronomicament.cat,True,gastronomicament.cat,"Marian Aguiló 11 3A, 07005 Palma de Mallorca, Espanya",7005.0,39.5769055,2.661576,web,Illes Balears,IB
diaridelmaestrat.com,València,,PV,PV,cast,digital,,,AMIC,diari del maestrat,True,diaridelmaestrat.com,"San Francisco, 125, 12500 Vinaròs (Castellón)",12500.0,40.467346,0.4704783,web,Castellón/Castelló,PV
regio7.cat,Catalunya Central,OJD,CAT,B,cc,digital,,,AMIC,regió 7,True,regio7.cat,"Sant Antoni M. Claret, 32 - 08240 Manresa (Barcelona)",8240.0,41.7313145,1.8336049,"print, web, app",Barcelona,CAT
eltemps.cat,Pais Valencià,,PV,PV,,digital,,,AMIC,el temps,True,eltemps.cat,"Octubre Centre de Cultura Contemporània  de Sant Ferran, 12 - 46001 - València ",46001.0,39.4729986,-0.3770216,"print, web",Valencia/València,PV
meseconomia.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC,més economia,True,meseconomia.cat,"Caballero, 65 - Barcelona 08014",8014.0,41.3832889,2.136604,web,Barcelona,CAT
penedeseconomic.com,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC,penedés economic,True,penedeseconomic.com,"General Cortijo, 21A - Vilafranca del Penedès 08720 Barcelona",8720.0,41.3425798,1.7002438,"print, web",Barcelona,CAT
ara.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC,ara,True,ara.cat,"Diputació 119 de Barcelona, 08015",8015.0,41.3827046,2.156459,"print, app, web",Barcelona,CAT
catalunyapress.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC,catalunya press,True,catalunyapress.cat,"Ronda Universitat 12, 7ª Planta -08007 Barcelona",8007.0,41.3865643,2.166938,web,Barcelona,CAT
elcritic.cat,Països catalans,OJD,CAT,CAT,,digital,,,AMIC,crític,True,elcritic.cat,"Casp, 43 de Barcelona, 08010",8010.0,41.3920594,2.1739426,"print, web",Barcelona,CAT
elmon.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC,el món,True,elmon.cat,"Passeig de Gràcia 16, 1er 3ª - 08007 Barcelona",8007.0,41.389454,2.1689521,web,Barcelona,CAT
elmon.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC,mónplaneta,True,elmon.cat,"Consell de Cent, 322 08007 Barcelona",8007.0,41.3920747,2.1671796,web,Barcelona,CAT
