media,area_of_influence,ojd,CCAA,PROV,AREA,platform,PGD,distribution,Origin
fibwidiario.com,Balears,,IB,IB,,digital,,,AMIC
laconca51.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
festacatalunya.cat,ori,OJD,CAT,CAT,,digital,,,AMIC
adolescents.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
eldiari.online,Castelló,,PV,PV,,digital,,,AMIC
laopiniondetorrent.es,"Torrent, València",,PV,PV,V,digital,,,AMIC
campingscat.com,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
Catalunyareligio.cat  ,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
adolescents.cat,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
sapsque.com,"Badalona, Barcelonès",no OJD,CAT,B,,digital,,,AMIC
apuntmenorca.com,Manacor i comarca,,IB,IB,me,digital,,,AMIC
laveudalginet.es,València,,PV,PV,V,digital,,,AMIC
fosbury.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
tornaveu.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
escenacultural.net,,,PV,PV,,digital,,,AMIC
diaridebenicassim.com,Castelló,,PV,PV,,digital,,,AMIC
exterior.cat,Catalunya ,no OJD,CAT,CAT,,digital,,,AMIC
areavisual.cat,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
elnostreciutat.com (elnostreperiodic.com),Pais Valencià,,PV,PV,Al,digital,,,AMIC
gentedelasafor.es,Pais Valencià,,PV,PV,V,digital,,,AMIC
noticiasmarinaalta.es ,Pais Valencià,,PV,PV,V,digital,,,AMIC
comunicacio21.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
media.cat,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
Núvol.com,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
cultura21.cat,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
frontissa.cat,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
culturalia.club,Andorra i pirineus,,AD,AND,,digital,,,AMIC
surtdecasa.cat,Catalunya ,OJD,CAT,CAT,varisIP,digital,,,AMIC
sies.tv,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
festadirecte.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
festescatalunya.com,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
revistamirall.com,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
culturaipaisatge.cat ,Comarques de Tarragona i Urgell,no OJD,CAT,T,,digital,,,AMIC
tempsarts.cat,Pais Valencià,,PV,PV,,digital,,,AMIC
verlanga.com,Pais Valencià,,PV,PV,V,digital,,,AMIC
elculturista.cat,Barcelona Ciutat,no OJD,CAT,B,,digital,,,AMIC
espai.media,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
diaridelallengua.cat,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
aboriginemag.com,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
donesdigital.cat,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
elmon.cat ,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
jornal.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
diarieducacio.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
inediteducacion.com ( ineditweb.es),Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
elmoncasteller.cat,"Catalunya,El Principat, principalment i territoris de parla catalana",OJD,CAT,CAT,,digital,,,AMIC
vadevi.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
valledeelda.com,Pais Valencià,,PV,AL,,digital,,,AMIC
viaempresa.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
carrerlliure.cat,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
canalte24.cat ,Tarragona i terres de l'Ebre,no OJD,CAT,T,,digital,,,AMIC
esportsradio.cat,Catalunya (radio),no OJD,CAT,CAT,,digital,,,AMIC
larepublicaesportiva.cat ,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
mon,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
esportbalear.es,Balears,,IB,IB,,digital,,,AMIC
esportandreuenc.cat,"Sant Andreu, Barcelona (radio)",no OJD,CAT,B,,digital,,,AMIC
lapositiva.cat,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
escaparatedigital.com,Pais Valencià,,PV,PV,Al,digital,,,AMIC
elgourmetcatala.cat,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
foodiesonmenorca.com,"Menorca, Illes Balears i territoris de parla catalana",,IB,IB,me,digital,,,AMIC
gastronomicament.cat,Mallorca,,IB,IB,ma,digital,,,AMIC
vadegust.cat, paisos catalans ,OJD,CAT,CAT,,digital,,,AMIC
balearsvadegust.cat,Balears i paisos catalans ,,IB,IB,,digital,,,AMIC
hibridosyelectricos.com(publico.es),"Nacional, Catalunya",OJD,CAT,ESCAT,,digital,,,AMIC
diaridelmaestrat.com,València,,PV,PV,cast,digital,,,AMIC
el9nou.cat ,Osona,OJD,CAT,B,cc,digital,,,AMIC
el9nou.cat ,Vallès oriental,OJD,CAT,B,,digital,,,AMIC
regio7.cat,Catalunya Central,OJD,CAT,B,cc,digital,,,AMIC
eltemps.cat,Pais Valencià,,PV,PV,,digital,,,AMIC
metadata.cat,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
blanquinegres.com,Pais Valencià,,PV,PV,,digital,,,AMIC
Junior-report.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
saplaca.cat,Mallorca,,IB,IB,ma,digital,,,AMIC
totpla.cat,Pla de Mallorca,,IB,IB,mi.,digital,,,AMIC
lasrepublicas.com ,Estat Espanyol (cast),OJD,CAT,ES,,digital,,,AMIC
indicadordeeconomia.com,"Catalunya, Tarragona",OJD,CAT,CAT,,digital,,,AMIC
meseconomia.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
penedeseconomic.com,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
la-clau.net,Catalunya i Cat nord,OJD,CAT,CATNORD,,digital,,,AMIC
lesvegueries.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
ara.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
catalunyaplural.cat ,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
catalunyapress.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
elcritic.cat,Països catalans,OJD,CAT,CAT,,digital,,,AMIC
elmon.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
larepublica.cat ,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
naciodigital.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
xcatalunya.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
onadigital.cat,"Catalunya,Vic (radio)",no OJD,CAT,CAT,,digital,,,AMIC
cronica.es,Pais Valencià,,PV,PV,Valencià,digital,,,AMIC
sermaestrat.com,Pais Valencià,,PV,PV,,digital,,,AMIC
somgandia.com ,València,,PV,PV,V,digital,,,AMIC
somsafor.com,València,,PV,PV,V,digital,,,AMIC
radiojove.cat,"Catalunya,Vic (radio)",no OJD,CAT,CAT,,digital,,,AMIC
aguaita.cat ,Terres de l'Ebre,OJD,CAT,T,te,digital,,,AMIC
anoiadiari.cat,Anoia,OJD,CAT,B,cc,digital,,,AMIC
aquibergueda.cat,"Berguedà, Bages Nord, Solsonès Oest",OJD,CAT,B,cc,digital,,,AMIC
baixcampradio.com,Baixcamp,OJD,CAT,T,,digital,,,AMIC
balaguer.tv,Balaguer,OJD,CAT,L,,digital,,,AMIC
bellaterradiari.cat,Bellaterra,OJD,CAT,B,amb,digital,,,AMIC
canal21ebre.com,Terres de l'Ebre,OJD,CAT,T,te,digital,,,AMIC
capgros.com,Maresme,OJD,CAT,B,amb,digital,,,AMIC
comarquesdeponent.com,comarques de Ponent,OJD,CAT,L,,digital,,,AMIC
comarquesnord.cat," Sud Tarragona, : comarques dels Ports i el Maestrat (al nord del País Valencià) i del Matarranya (al sud de Terol)",OJD,CAT,T,,digital,,,AMIC
diaridegirona.cat,Demarcació Girona,OJD,CAT,G,,digital,,,AMIC
diaridesabadell.com,Sabadell,OJD,CAT,B,amb,digital,,,AMIC
diarideterrassa.com,Terrassa,OJD,CAT,B,amb,digital,,,AMIC
diarimes.com,"Tarragonès, Reus, Camp, Ebre, Penedès",OJD,CAT,T,,digital,,,AMIC
ebredigital.cat,Terres de l'Ebre,OJD,CAT,T,te,digital,,,AMIC
eixdiari.cat,"Garraf, Penedès",OJD,CAT,B,,digital,,,AMIC
elcargol.com,"Penedès, Garraf, Anoia",OJD,CAT,B,,digital,,,AMIC
elcugatenc.cat,Sant Cugat del Vallès,OJD,CAT,B,amb,digital,,,AMIC
empordà.info,Empordà,OJD,CAT,G,,digital,,,AMIC
expresdesantandreu.cat,"Barcelonès, Barri Sant Andreu",OJD,CAT,B,amb,digital,,,AMIC
gerio.cat,Girona,OJD,CAT,G,,digital,,,AMIC
infoanoia.cat,anoia,OJD,CAT,B,cc,digital,,,AMIC
infocamp.cat,"Tarragonès,camp de Tarragona",OJD,CAT,T,ct,digital,,,AMIC
isabadell.cat,Sabadell,OJD,CAT,B,amb,digital,,,AMIC
labustia.cat,Baix Llobregat nord,OJD,CAT,B,amb,digital,,,AMIC
laciutat.cat,"territorials Catalunya, AND",OJD,CAT,CATAND,varisIP,digital,,,AMIC
lafurapenedes.cat,Penedés,OJD,CAT,B,,digital,,,AMIC
laguiadereus.com,Reus,OJD,CAT,T,ct,digital,,,AMIC
lamanyana.cat,"lleida, Demarcació de Lleida",OJD,CAT,L,,digital,,,AMIC
