TITLE,ACTIVE,URL_web,URL_facebook,URL_twitter,URL_youtube,URL_instagram,URL_telegram,URL_tiktok,URL_linkedin,DATE_START_year_offline,DATE_START_year_digital,DATE_START_day_digital,DATE_END_year_digital,DATE_END_day_digital,LOCATION_country,LOCATION_company_address,LOCATION_company_zipcode,LOCATION_town,REACH,NATIVE,PUBLISHER_media_group,PUBLISHER_company_name,PODCAST_offered,PODCAST_native,TOPIC_general_information,TOPIC_special_topic,TOPIC_special_topic_description,OWNERSHIP,DNR,ID_original,lat,lng,REVENUE_specify_other,LANGUAGE_specify_other,createdAt,updatedAt,publishedAt,URL_twitch,URL_whatsapp,platforms,languages,revenues,province,region
243 Cat,false,http://243cat.wordpress.com/,https://www.facebook.com/243Cat-375129259233829,https://twitter.com/243cat,,,,,,,2012,2012-10-05,2015,2015-11-17,ES,,,Barcelona,local,true,,,,,,,,private,false,ES_6,41.3873974,2.168568,,,2022-09-06T09:22:21.535Z,2023-01-27T11:11:07.737Z,2022-09-06T09:22:58.469Z,,,web,catalan,,Barcelona,Cataluña
25 Televisió,true,http://www.25televisio.com/,https://www.facebook.com/25tv-298335373532952/,https://twitter.com/25televivisio,,,,,,,2009,,,,ES,Avenida Diagonal 441 - 4t A - 08036 Barcelona',08036,Barcelona,local,false,,Gibson Time S.L.U,false,false,true,General,,private,false,ES_7,41.3936619,2.1495211,,,2022-09-06T09:22:18.695Z,2023-01-27T11:11:07.757Z,2022-09-06T09:22:58.469Z,,,"tv, web",catalan,Advertising,Barcelona,Cataluña
3 Viles,false,http://3viles.com/,,,,,,,,,1999,,,,ES,"Sant Benet, 16-18 - 08302 Mataró, Barcelona",08302,Mataró,local,false,,"Capgròs Comunicació, SL",false,false,true,General,,private,false,ES_9,41.538532,2.4406966,,,2022-09-06T09:22:31.574Z,2024-01-15T07:45:17.473Z,2022-09-06T09:22:58.469Z,,,"web, print",catalan,"Consultancy, events and other sources",Barcelona,Cataluña
40 Putes,false,http://www.40putes.com/,https://www.facebook.com/40putes,https://twitter.com/40putes,,,,,,,2012,2012-03-05,2015,2015-12-24,ES,,,Mallorca,local,true,,,,,,,,private,false,ES_11,39.6952629,3.0175712,,,2022-09-06T09:22:37.631Z,2023-01-27T11:10:51.852Z,2022-09-06T09:22:58.469Z,,,web,catalan,,Illes Balears,Balears; Illes
440 Classica,true,http://www.enderrock.cat/440classica,https://www.facebook.com/GrupEnderrock,https://twitter.com/enderrock,https://www.youtube.com/user/grupenderrock,https://www.instagram.com/grupenderrock/,,,,,2006,,,,ES,"Muntaner, 477, bxs. 2a · 08021 Barcelona",08021,Barcelona,local,false,,Grup Enderrock Edicions SL,false,false,false,Cultura (literatura; cine; música; arte),Música clásica y jazz,private,false,ES_12,41.4024199,2.1382879,,,2022-09-06T09:22:17.021Z,2023-01-27T11:11:07.798Z,2022-09-06T09:22:58.469Z,,,"print, web",catalan,"Subsidies (public or private), Advertising",Barcelona,Cataluña
50x7,false,http://www.50x7.com/,,https://twitter.com/50x7com,,,,,,,2012,,,,ES,,,Barcelona,local,true,,,,,,,,private,false,ES_17,41.3873974,2.168568,,,2022-09-06T09:22:21.569Z,2023-01-27T11:11:07.818Z,2022-09-06T09:22:58.469Z,,,web,catalan,,Barcelona,Cataluña
772 El diari digital de Castellbisbal,true,http://www.772.cat/,https://www.facebook.com/772cat,https://twitter.com/772cat,https://www.youtube.com/772cat/,https://www.instagram.com/772cat/,https://t.me/www772cat,,,,2012,2012-10-07,,,ES,"Jacint Verdaguer, 11, local 2 - 08755 CASTELLBISBAL, Barcelona",08755,Castellbisbal,local,true,,"772, S.C.P.",false,false,true,General,,private,false,ES_22,41.4719619,1.9807879,,,2022-09-06T09:22:12.441Z,2023-01-27T11:11:07.858Z,2022-09-06T09:22:58.469Z,,,web,catalan,"Donations and crowdfunding, Advertising, Subsidies (public or private), Branded content",Barcelona,Cataluña
777 Comunica,false,http://www.setsetset.cat/,https://www.facebook.com/777comunica,https://twitter.com/777comunica,https://www.youtube.com/channel/UCe_nXjnK2DK5IwPkFBVaOaw,,,,,,2021,2021-02-12,2023,,ES,Francesc Macià 66 - 08292 - Esparreguera,08292,Esparreguera,local,false,,,false,false,true,General,,private,false,ES_23,41.5392648,1.8669245,,,2022-09-06T09:22:11.598Z,2024-01-15T07:45:51.667Z,2022-09-06T09:22:58.469Z,,,"web, print",catalan,"Suscription, membership or payment, Subsidies (public or private), Advertising",Barcelona,Cataluña
7deRàdio,true,http://www.7deradio.cat/,https://www.facebook.com/7deradio,https://twitter.com/7deradio,https://youtube.com/7deradiocat,https://instagram.com/7deradio,,,,,2011,,,,ES,,,Barcelona,local,false,,,,,,,,private,false,ES_24,41.3873974,2.168568,,,2022-09-06T09:22:21.636Z,2024-03-03T18:34:47.461Z,2022-09-06T09:22:58.469Z,,,web,catalan,,Barcelona,Cataluña
7 Dies Vallès,false,http://www.7diesvalles.com/actualitat.html,,https://twitter.com/7diesvalles,,,,,,,,,2016,2016-01-20,ES,"Avenida Sant Esteve, 83 local 5 - 08211 Castellar del Vallès",08211,"Castellar del Vallès, Sentmenat, Sant Llorenç Savall",local,false,,7d Comunicació scp,,,,,,private,false,ES_20,41.6162814,2.0918807,,,2022-09-06T09:22:15.125Z,2023-01-27T11:11:07.838Z,2022-09-06T09:22:58.469Z,,,web,catalan,,Barcelona,Cataluña
