codigo postal,lat,lon,poblacion,provincia,comunidad autonoma,prob_c,comarca2,provincia2,comunidad2,code2,prob_2
25651,1091771730.0,42161421170,Abella de la Conca,Lleida,Cataluña,abella de la conca,Pallars Jussà,Lerida/ Lleida,Cataluña/ Catalunya,250019.0,abella de la conca
25652,1091771730.0,42161421170,Abella de la Conca,Lleida,Cataluña,abella de la conca,Pallars Jussà,Lerida/ Lleida,Cataluña/ Catalunya,250019.0,abella de la conca
25747,1091771730.0,42161421170,Abella de la Conca,Lleida,Cataluña,abella de la conca,Pallars Jussà,Lerida/ Lleida,Cataluña/ Catalunya,250019.0,abella de la conca
8630,1902210180.0,41517943520,Abrera,Barcelona,Cataluña,abrera,Baix Llobregat,Barcelona,Cataluña/ Catalunya,80018.0,abrera
46140,-1286690470.0,40061200130,Ademuz,Valencia/València,Comunidad Valenciana,ademuz,El Rincón de Ademuz,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46001.0,ademuz
46729,-0.22439286,38918813330,Ador,Valencia/València,Comunidad Valenciana,ador,La Safor,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46002.0,ador
25611,0.76284806,41999559420,Àger,Lleida,Cataluña,ager,Noguera,Lerida/ Lleida,Cataluña/ Catalunya,250024.0,ager
25691,0.76284806,41999559420,Àger,Lleida,Cataluña,ager,Noguera,Lerida/ Lleida,Cataluña/ Catalunya,250024.0,ager
25692,0.76284806,41999559420,Àger,Lleida,Cataluña,ager,Noguera,Lerida/ Lleida,Cataluña/ Catalunya,250024.0,ager
3698,-0.63891979,38439493160,Agost,Alicante/Alacant,Comunidad Valenciana,agost,L'Alacantí,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3002.0,agost
25310,1099223570.0,41787365580,Agramunt,Lleida,Cataluña,agramunt,Urgell,Lerida/ Lleida,Cataluña/ Catalunya,250030.0,agramunt
25317,1099223570.0,41787365580,Agramunt,Lleida,Cataluña,agramunt,Urgell,Lerida/ Lleida,Cataluña/ Catalunya,250030.0,agramunt
25318,1099223570.0,41787365580,Agramunt,Lleida,Cataluña,agramunt,Urgell,Lerida/ Lleida,Cataluña/ Catalunya,250030.0,agramunt
25331,1099223570.0,41787365580,Agramunt,Lleida,Cataluña,agramunt,Urgell,Lerida/ Lleida,Cataluña/ Catalunya,250030.0,agramunt
3837,-0.51595543,38780004040,Agres,Alicante/Alacant,Comunidad Valenciana,agres,El Comtat,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3003.0,agres
8256,1629367020.0,41748312780,Aguilar de Segarra,Barcelona,Cataluña,aguilar de segarra,Bages,Barcelona,Cataluña/ Catalunya,80023.0,aguilar de segarra
17707,2846573280.0,42394024940,Agullana,Girona,Cataluña,agullana,Alt Empordà,Gerona/Girona,Cataluña/ Catalunya,170010.0,agullana
46890,-0.54782899,38822294420,Agullent,Valencia/València,Comunidad Valenciana,agullent,La Vall d'Albaida,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46004.0,agullent
46812,-0.5914752,38877749470,Aielo de Malferit,Valencia/València,Comunidad Valenciana,aielo de malferit,La Vall d'Albaida,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46042.0,aielo de malferit
