media,pdf_link,zipcode
7DIESACTUALITAT.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9263/10/2024/,12500
7TELEVALENCIA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9167/10/2024/,46988
ACTUALIDADCASTELLON.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10407/10/2024/,46007
ACTUALIDADVALENCIA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7939/10/2024/,46007
AGENDADEISA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10971/10/2024/,46112
AGRONEWSCOMUNITATVALENCIANA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9027/10/2024/,46009
ALGEMESIALDIA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7615/10/2024/,46680
ALICANTEPLAZA.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7635/10/2024/,
ALICANTEXTRA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7827/10/2024/,46017
AQUIMEDIOSDECOMUNICACION.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/8687/10/2024/,03204
ARAMULTIMEDIA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9675/10/2024/,03801
BETERA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7319/10/2024/,46190
CAMP-DE-TURIA.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10291/10/2024/,46190
CANAL56.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9775/10/2024/,12500
CASTELLO24.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9607/10/2024/,46005
CASTELLOEXTRA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7831/10/2024/,46017
CASTELLONBASE.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9599/10/2024/,12006
CASTELLONDIARIO.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10887/10/2024/,12130
CASTELLONINFORMACION.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/8999/10/2024/,12004
CASTELLONOTICIES.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9835/10/2024/,08221
CASTELLONPLAZA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/8667/10/2024/,46002
CBNOTICIAS.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10687/10/2024/,03110
COMARCAL.TV,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9703/10/2024/,46800
COMARCALCV.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7351/10/2024/,46900
COMARQUESNORD.CAT,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/1076/10/2024/,44586
COPEALCOY.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9691/10/2024/,46013
CRONICA.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10127/10/2024/,46900
DENIA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9639/10/2024/,03700
DIADIA.CAT,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9667/10/2024/,12150
DIARIDELMAESTRAT.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9255/10/2024/,12500
DIARIDIGITAL.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7479/10/2024/,46800
DIARILAVEU.CAT,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/4886/10/2024/,08221
DIARIO SIGLO XXI,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/3224/10/2024/,46015
DIARIODEALICANTE.NET,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7935/10/2024/,46007
DIARIODELPUERTO.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/1009/10/2024/,46120
DIGITALES DE LA MARINA ALTA Y BAIXA (P),https://www.ojdinteractiva.es/muestra_acta/medios-digitales/8815/10/2024/,03725
BENISSADIGITAL.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/8823/10/2024/,03725
CALPDIGITAL.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/8819/10/2024/,03725
