media,zipcode,visits_data
7DIESACTUALITAT.COM,12500.0,"{'browser_uniques': {'1_Month': '2.469', 'daily_avg': '93', 'mon_fri_avg': '101', 'sat_sun_avg': '70', 'pages_per_visit': '1,59', 'avg_visit_duration': '0:01:28', 'avg_interaction_time': '0:00:36'}, 'visits': {'1_Month': '3.126', 'daily_avg': '101', 'mon_fri_avg': '110', 'sat_sun_avg': '75'}, 'pages': {'1_Month': '4.962', 'daily_avg': '160', 'mon_fri_avg': '176', 'sat_sun_avg': '114'}}"
7TELEVALENCIA.COM,46988.0,"{'browser_uniques': {'1_Month': '268.722', 'daily_avg': '10.408', 'mon_fri_avg': '12.114', 'sat_sun_avg': '5.505', 'pages_per_visit': '1,21', 'avg_visit_duration': '0:01:21', 'avg_interaction_time': '0:00:35'}, 'visits': {'1_Month': '373.304', 'daily_avg': '12.042', 'mon_fri_avg': '14.072', 'sat_sun_avg': '6.205'}, 'pages': {'1_Month': '451.713', 'daily_avg': '14.571', 'mon_fri_avg': '16.853', 'sat_sun_avg': '8.013'}}"
ACTUALIDADCASTELLON.COM,46007.0,"{'browser_uniques': {'1_Month': '14.220', 'daily_avg': '516', 'mon_fri_avg': '453', 'sat_sun_avg': '697', 'pages_per_visit': '1,04', 'avg_visit_duration': '0:01:22', 'avg_interaction_time': '0:00:32'}, 'visits': {'1_Month': '17.334', 'daily_avg': '559', 'mon_fri_avg': '498', 'sat_sun_avg': '735'}, 'pages': {'1_Month': '17.941', 'daily_avg': '579', 'mon_fri_avg': '538', 'sat_sun_avg': '697'}}"
ACTUALIDADVALENCIA.COM,46007.0,"{'browser_uniques': {'1_Month': '41.784', 'daily_avg': '1.539', 'mon_fri_avg': '1.885', 'sat_sun_avg': '547', 'pages_per_visit': '1,19', 'avg_visit_duration': '0:01:39', 'avg_interaction_time': '0:00:44'}, 'visits': {'1_Month': '52.701', 'daily_avg': '1.700', 'mon_fri_avg': '2.086', 'sat_sun_avg': '590'}, 'pages': {'1_Month': '62.931', 'daily_avg': '2.030', 'mon_fri_avg': '2.501', 'sat_sun_avg': '676'}}"
AGENDADEISA.COM,46112.0,"{'browser_uniques': {'1_Month': '32.243', 'daily_avg': '1.132', 'mon_fri_avg': '1.072', 'sat_sun_avg': '1.304', 'pages_per_visit': '1,34', 'avg_visit_duration': '0:02:06', 'avg_interaction_time': '0:00:53'}, 'visits': {'1_Month': '37.827', 'daily_avg': '1.220', 'mon_fri_avg': '1.161', 'sat_sun_avg': '1.390'}, 'pages': {'1_Month': '50.562', 'daily_avg': '1.631', 'mon_fri_avg': '1.563', 'sat_sun_avg': '1.826'}}"
AGRONEWSCOMUNITATVALENCIANA.COM,46009.0,"{'browser_uniques': {'1_Month': '30.984', 'daily_avg': '1.067', 'mon_fri_avg': '1.328', 'sat_sun_avg': '317', 'pages_per_visit': '1,16', 'avg_visit_duration': '0:01:09', 'avg_interaction_time': '0:00:25'}, 'visits': {'1_Month': '34.913', 'daily_avg': '1.126', 'mon_fri_avg': '1.400', 'sat_sun_avg': '339'}, 'pages': {'1_Month': '40.659', 'daily_avg': '1.312', 'mon_fri_avg': '1.623', 'sat_sun_avg': '415'}}"
ALGEMESIALDIA.COM,46680.0,"{'browser_uniques': {'1_Month': '1.744', 'daily_avg': '70', 'mon_fri_avg': '70', 'sat_sun_avg': '70', 'pages_per_visit': '1,10', 'avg_visit_duration': '0:01:41', 'avg_interaction_time': '0:01:00'}, 'visits': {'1_Month': '2.263', 'daily_avg': '73', 'mon_fri_avg': '73', 'sat_sun_avg': '72'}, 'pages': {'1_Month': '2.492', 'daily_avg': '80', 'mon_fri_avg': '80', 'sat_sun_avg': '81'}}"
ALICANTEPLAZA.ES,,"{'browser_uniques': {'1_Month': '501.529', 'daily_avg': '27.011', 'mon_fri_avg': '27.933', 'sat_sun_avg': '24.358', 'pages_per_visit': '1,79', 'avg_visit_duration': '0:02:01', 'avg_interaction_time': '0:01:33'}, 'visits': {'1_Month': '1.053.615', 'daily_avg': '33.988', 'mon_fri_avg': '35.473', 'sat_sun_avg': '29.718'}, 'pages': {'1_Month': '1.884.240', 'daily_avg': '60.782', 'mon_fri_avg': '64.587', 'sat_sun_avg': '49.843'}}"
ALICANTEXTRA.COM,46017.0,"{'browser_uniques': {'1_Month': '30.444', 'daily_avg': '1.169', 'mon_fri_avg': '1.253', 'sat_sun_avg': '927', 'pages_per_visit': '1,32', 'avg_visit_duration': '0:01:19', 'avg_interaction_time': '0:00:40'}, 'visits': {'1_Month': '38.609', 'daily_avg': '1.245', 'mon_fri_avg': '1.330', 'sat_sun_avg': '1.003'}, 'pages': {'1_Month': '50.925', 'daily_avg': '1.643', 'mon_fri_avg': '1.776', 'sat_sun_avg': '1.260'}}"
AQUIMEDIOSDECOMUNICACION.COM,3204.0,"{'browser_uniques': {'1_Month': '18.924', 'daily_avg': '661', 'mon_fri_avg': '712', 'sat_sun_avg': '516', 'pages_per_visit': '1,31', 'avg_visit_duration': '0:00:49', 'avg_interaction_time': '-'}, 'visits': {'1_Month': '21.791', 'daily_avg': '703', 'mon_fri_avg': '756', 'sat_sun_avg': '550'}, 'pages': {'1_Month': '28.528', 'daily_avg': '920', 'mon_fri_avg': '1.001', 'sat_sun_avg': '687'}}"
ARAMULTIMEDIA.COM,3801.0,"{'browser_uniques': {'1_Month': '8.693', 'daily_avg': '729', 'mon_fri_avg': '808', 'sat_sun_avg': '503', 'pages_per_visit': '1,70', 'avg_visit_duration': '0:02:31', 'avg_interaction_time': '0:03:13'}, 'visits': {'1_Month': '28.488', 'daily_avg': '919', 'mon_fri_avg': '1.017', 'sat_sun_avg': '636'}, 'pages': {'1_Month': '48.438', 'daily_avg': '1.563', 'mon_fri_avg': '1.734', 'sat_sun_avg': '1.070'}}"
BETERA.COM,46190.0,"{'browser_uniques': {'1_Month': '3.466', 'daily_avg': '122', 'mon_fri_avg': '133', 'sat_sun_avg': '91', 'pages_per_visit': '1,33', 'avg_visit_duration': '0:01:29', 'avg_interaction_time': '0:00:35'}, 'visits': {'1_Month': '4.042', 'daily_avg': '130', 'mon_fri_avg': '142', 'sat_sun_avg': '97'}, 'pages': {'1_Month': '5.385', 'daily_avg': '174', 'mon_fri_avg': '189', 'sat_sun_avg': '130'}}"
CAMP-DE-TURIA.ES,46190.0,"{'browser_uniques': {'1_Month': '459', 'daily_avg': '15', 'mon_fri_avg': '17', 'sat_sun_avg': '10', 'pages_per_visit': '1,58', 'avg_visit_duration': '0:01:36', 'avg_interaction_time': '0:00:32'}, 'visits': {'1_Month': '499', 'daily_avg': '16', 'mon_fri_avg': '18', 'sat_sun_avg': '11'}, 'pages': {'1_Month': '790', 'daily_avg': '25', 'mon_fri_avg': '30', 'sat_sun_avg': '14'}}"
