media,zipcode,1_Month,daily_avg,mon_fri_avg,sat_sun_avg,pages_per_visit,avg_visit_duration,avg_interaction_time
7DIESACTUALITAT.COM,12500,2.469,93,101,70,"1,59",0:01:28,0:00:36
7TELEVALENCIA.COM,46988,268.722,10.408,12.114,5.505,"1,21",0:01:21,0:00:35
ACTUALIDADCASTELLON.COM,46007,14.220,516,453,697,"1,04",0:01:22,0:00:32
ACTUALIDADVALENCIA.COM,46007,41.784,1.539,1.885,547,"1,19",0:01:39,0:00:44
AGENDADEISA.COM,46112,32.243,1.132,1.072,1.304,"1,34",0:02:06,0:00:53
AGRONEWSCOMUNITATVALENCIANA.COM,46009,30.984,1.067,1.328,317,"1,16",0:01:09,0:00:25
ALGEMESIALDIA.COM,46680,1.744,70,70,70,"1,10",0:01:41,0:01:00
ALICANTEPLAZA.ES,,501.529,27.011,27.933,24.358,"1,79",0:02:01,0:01:33
ALICANTEXTRA.COM,46017,30.444,1.169,1.253,927,"1,32",0:01:19,0:00:40
AQUIMEDIOSDECOMUNICACION.COM,03204,18.924,661,712,516,"1,31",0:00:49,-
ARAMULTIMEDIA.COM,03801,8.693,729,808,503,"1,70",0:02:31,0:03:13
BETERA.COM,46190,3.466,122,133,91,"1,33",0:01:29,0:00:35
CAMP-DE-TURIA.ES,46190,459,15,17,10,"1,58",0:01:36,0:00:32
CANAL56.COM,12500,4.637,197,206,171,"2,40",0:05:43,0:04:28
CASTELLO24.COM,46005,1.092,45,50,29,"1,55",0:02:30,0:00:50
CASTELLOEXTRA.COM,46017,2.773,105,110,89,"1,53",0:01:35,0:00:37
CASTELLONBASE.COM,12006,19.372,1.072,1.132,899,"1,47",0:02:08,0:01:28
CASTELLONDIARIO.COM,12130,93.322,3.495,3.073,4.709,"1,14",0:00:55,0:00:25
CASTELLONINFORMACION.COM,12004,62.136,2.451,2.657,1.858,"1,25",0:01:32,0:00:43
CASTELLONOTICIES.COM,08221,9.806,821,882,644,"1,49",0:02:04,0:02:39
