media,zipcode,1_Month,daily_avg,mon_fri_avg,sat_sun_avg
7DIESACTUALITAT.COM,12500,4.962,160,176,114
7TELEVALENCIA.COM,46988,451.713,14.571,16.853,8.013
ACTUALIDADCASTELLON.COM,46007,17.941,579,538,697
ACTUALIDADVALENCIA.COM,46007,62.931,2.030,2.501,676
AGENDADEISA.COM,46112,50.562,1.631,1.563,1.826
AGRONEWSCOMUNITATVALENCIANA.COM,46009,40.659,1.312,1.623,415
ALGEMESIALDIA.COM,46680,2.492,80,80,81
ALICANTEPLAZA.ES,,1.884.240,60.782,64.587,49.843
ALICANTEXTRA.COM,46017,50.925,1.643,1.776,1.260
AQUIMEDIOSDECOMUNICACION.COM,03204,28.528,920,1.001,687
ARAMULTIMEDIA.COM,03801,48.438,1.563,1.734,1.070
BETERA.COM,46190,5.385,174,189,130
CAMP-DE-TURIA.ES,46190,790,25,30,14
CANAL56.COM,12500,17.179,554,603,415
CASTELLO24.COM,46005,2.533,82,95,44
CASTELLOEXTRA.COM,46017,5.300,171,182,140
CASTELLONBASE.COM,12006,57.880,1.867,1.920,1.715
CASTELLONDIARIO.COM,12130,132.527,4.275,3.844,5.513
CASTELLONINFORMACION.COM,12004,105.300,3.397,3.676,2.594
CASTELLONOTICIES.COM,08221,50.927,1.643,1.761,1.303
CASTELLONPLAZA.COM,46002,809.019,26.097,26.903,23.782
CBNOTICIAS.COM,03110,4.377,141,162,82
COMARCAL.TV,46800,16.583,535,586,390
COMARCALCV.COM,46900,166.432,5.369,6.349,2.550
COMARQUESNORD.CAT,44586,14.880,480,523,356
COPEALCOY.ES,46013,16.771,541,609,347
CRONICA.ES,46900,1.870,60,73,23
DENIA.COM,03700,455.304,14.687,15.060,13.615
DIADIA.CAT,12150,8.471,273,317,149
DIARIDELMAESTRAT.COM,12500,499.879,16.125,17.081,13.377
DIARIDIGITAL.ES,46800,33.219,1.072,1.159,820
DIARILAVEU.CAT,08221,365.924,11.804,12.713,9.189
DIARIO SIGLO XXI,46015,130.858,4.221,4.667,2.940
DIARIODEALICANTE.NET,46007,40.635,1.311,1.437,949
DIARIODELPUERTO.COM,46120,175.288,5.654,6.807,2.341
DIGITALES DE LA MARINA ALTA Y BAIXA (P),03725,250.985,8.096,8.819,6.018
