media,zipcode,1_Month,daily_avg,mon_fri_avg,sat_sun_avg
7DIESACTUALITAT.COM,12500,3.126,101,110,75
7TELEVALENCIA.COM,46988,373.304,12.042,14.072,6.205
ACTUALIDADCASTELLON.COM,46007,17.334,559,498,735
ACTUALIDADVALENCIA.COM,46007,52.701,1.700,2.086,590
AGENDADEISA.COM,46112,37.827,1.220,1.161,1.390
AGRONEWSCOMUNITATVALENCIANA.COM,46009,34.913,1.126,1.400,339
ALGEMESIALDIA.COM,46680,2.263,73,73,72
ALICANTEPLAZA.ES,,1.053.615,33.988,35.473,29.718
ALICANTEXTRA.COM,46017,38.609,1.245,1.330,1.003
AQUIMEDIOSDECOMUNICACION.COM,03204,21.791,703,756,550
ARAMULTIMEDIA.COM,03801,28.488,919,1.017,636
BETERA.COM,46190,4.042,130,142,97
CAMP-DE-TURIA.ES,46190,499,16,18,11
CANAL56.COM,12500,7.162,231,243,197
CASTELLO24.COM,46005,1.635,53,60,33
CASTELLOEXTRA.COM,46017,3.475,112,118,94
CASTELLONBASE.COM,12006,39.343,1.269,1.337,1.074
CASTELLONDIARIO.COM,12130,115.786,3.735,3.317,4.937
CASTELLONINFORMACION.COM,12004,84.310,2.720,2.955,2.043
CASTELLONOTICIES.COM,08221,34.250,1.105,1.199,834
CASTELLONPLAZA.COM,46002,443.179,14.296,14.965,12.374
CBNOTICIAS.COM,03110,2.999,97,110,59
COMARCAL.TV,46800,9.164,296,337,175
COMARCALCV.COM,46900,81.317,2.623,3.158,1.084
COMARQUESNORD.CAT,44586,7.431,240,272,147
COPEALCOY.ES,46013,11.361,366,408,247
CRONICA.ES,46900,1.134,37,43,18
DENIA.COM,03700,258.624,8.343,8.415,8.134
DIADIA.CAT,12150,5.166,167,187,107
DIARIDELMAESTRAT.COM,12500,271.732,8.766,9.296,7.241
DIARIDIGITAL.ES,46800,25.785,832,889,666
DIARILAVEU.CAT,08221,238.231,7.685,8.267,6.011
DIARIO SIGLO XXI,46015,106.826,3.446,3.850,2.286
DIARIODEALICANTE.NET,46007,25.483,822,900,598
DIARIODELPUERTO.COM,46120,117.714,3.797,4.543,1.654
DIGITALES DE LA MARINA ALTA Y BAIXA (P),03725,189.968,6.022,6.584,4.406
BENISSADIGITAL.ES,03725,22.132,714,767,561
CALPDIGITAL.ES,03725,17.679,570,602,479
DENIADIGITAL.ES,03725,15.754,508,512,498
TEULADAMORAIRADIGITAL.ES,03725,59.382,1.916,2.361,636
XABIAALDIA.COM,03725,61.975,1.999,1.973,2.073
E6D.ES,46612,11.008,355,380,283
ELCAFEDEPIPA.COM,12600,3.133,101,104,93
ELDIARIO.ES - COMUNIDAD VALENCIANA,28028,2.669.512,86.113,96.581,56.020
ELDIARIO.ES - LA MARINA PLAZA,28028,313.051,10.098,10.671,8.453
ELMERIDIANO.ES,46023,66.988,2.161,2.576,967
ELNOSTRECIUTAT.COM,03801,78.625,2.536,2.447,2.792
ELPERIODIC.COM,12530,1.000.185,32.264,35.872,21.890
ELPERIODICODEAQUI.COM,46017,233.407,7.529,7.713,7.000
