ID,Origin,media,url,zipcode_iber,zipcode_cac
0,"Iberfier, CAC, OJD",el 9 nou,el9nou.cat,08500,08500
1,"Iberfier, CAC, OJD",betevé,beteve.cat,08018,08099
2,"Iberfier, CAC, OJD",pirineus tv,pirineustv.cat,25700,25700
3,"Iberfier, CAC, OJD",ràdio sabadell,radiosabadell.fm,08202,08202
4,"AMIC, Iberfier, OJD",adolescents,adolescents.cat,08500,
5,"AMIC, Iberfier, OJD",laopiniondetorrent,laopiniondetorrent.es,46900,
6,"AMIC, Iberfier, OJD",fosbury,fosbury.cat,08350,
7,"AMIC, Iberfier, OJD",comunicacio21,comunicacio21.cat,08013,
8,"AMIC, Iberfier, OJD",surtdecasa,surtdecasa.cat,43520,
9,"AMIC, Iberfier, OJD",festadirecte,festadirecte.cat,08014,
10,"AMIC, Iberfier, OJD",jornal,jornal.cat,08401,
11,"AMIC, Iberfier, OJD",diarieducacio,diarieducacio.cat,08010,
12,"AMIC, Iberfier, OJD",gastronomicament,gastronomicament.cat,07005,
13,"AMIC, Iberfier, OJD",diaridelmaestrat,diaridelmaestrat.com,12500,
14,"AMIC, Iberfier, OJD",eltemps,eltemps.cat,46001,
15,"AMIC, Iberfier, OJD",meseconomia,meseconomia.cat,08014,
16,"AMIC, Iberfier, OJD",elcritic,elcritic.cat,08010,
17,"AMIC, Iberfier, OJD",elmon,elmon.cat,"08007,08221,08172",
20,"AMIC, Iberfier, OJD",anoiadiari,anoiadiari.cat,08700,
21,"AMIC, Iberfier, OJD",aquibergueda,aquibergueda.cat,08600,
22,"AMIC, Iberfier, OJD",balaguer,balaguer.tv,25600,
23,"AMIC, Iberfier, OJD",comarquesdeponent,comarquesdeponent.com,25300,
24,"AMIC, Iberfier, OJD",comarquesnord,comarquesnord.cat,12300,
25,"AMIC, Iberfier, OJD",diaridegirona,diaridegirona.cat,17002,
26,"AMIC, Iberfier, OJD",diaridesabadell,diaridesabadell.com,08201,
27,"AMIC, Iberfier, OJD",ebredigital,ebredigital.cat,43003,
28,"AMIC, Iberfier, OJD",eixdiari,eixdiari.cat,08800,
29,"AMIC, Iberfier, OJD",elcargol,elcargol.com,08720,
30,"AMIC, Iberfier, OJD",elcugatenc,elcugatenc.cat,08173,
31,"AMIC, Iberfier, OJD",expresdesantandreu,expresdesantandreu.cat,08030,
32,"AMIC, Iberfier, OJD",infoanoia,infoanoia.cat,08788,
33,"AMIC, Iberfier, OJD",infocamp,infocamp.cat,43001,
34,"AMIC, Iberfier, OJD",labustia,labustia.cat,08760,
35,"AMIC, Iberfier, OJD",laguiadereus,laguiadereus.com,43206,
36,"AMIC, Iberfier, OJD",lamanyana,lamanyana.cat,25191,
37,"AMIC, Iberfier, OJD",lapremsadelbaix,lapremsadelbaix.es,08950,
38,"AMIC, Iberfier, OJD",marfanta,marfanta.com,43500,
39,"AMIC, Iberfier, OJD",mesebre,mesebre.cat,43500,
40,"AMIC, Iberfier, OJD",mesosona,mesosona.cat,08500,
41,"AMIC, Iberfier, OJD",mollerussa,mollerussa.tv,25230,
42,"AMIC, Iberfier, OJD",noticiestgn,noticiestgn.cat,43003,
43,"AMIC, Iberfier, OJD",onabages,onabages.cat,08650,
45,"AMIC, Iberfier, OJD",reusdigital,reusdigital.cat,43201,
46,"AMIC, Iberfier, OJD",revistacambrils,revistacambrils.cat,43850,
47,"AMIC, Iberfier, OJD",somlallagosta,somlallagosta.cat,08100,
48,"AMIC, Iberfier, OJD",somlesfranqueses,somlesfranqueses.cat,08100,
49,"AMIC, Iberfier, OJD",sommartorelles,sommartorelles.cat,08100,
50,"AMIC, Iberfier, OJD",somparets,somparets.cat,08100,
51,"AMIC, Iberfier, OJD",somsantfost,somsantfost.cat,08100,
52,"AMIC, Iberfier, OJD",tarragonadigital,tarragonadigital.com,43201,
